#key	synopsis
ABPA Backgammon (World)	Intellivision Backgammon ist identisch mit dem Brettspiel. Backgammon ist ein Spiel, das von zwei Spielern gespielt wird (der Computer kann einer der Spieler sein). Jeder Spieler hat 15 Teile. Ziel des Spiels ist es, der Erste zu sein, der alle seine Spielsteine vollständig umherbewegt und schließlich vom Spielbrett verlässt. Das Bewegen Ihrer Figuren vom Brett wird als „Abtragen“ bezeichnet. Der erste Spieler, der alle seine Spielsteine abspielt, ist der Gewinner. Jeder Spieler bewegt sich in eine Richtung, beginnend am Heimtisch seines Gegners und weiter zu seinem eigenen Heimtisch. Somit bewegt sich ein Spieler immer im Uhrzeigersinn und der andere immer gegen den Uhrzeigersinn. Sie können auf zwei Schwierigkeitsstufen gegen den Computer spielen – eine für Anfänger oder Fortgeschrittene, eine andere für Experten – oder zwei Spieler können gegeneinander antreten. Es zeigt das Logo der American Backgammon Players Association (ABPA).
Advanced Dungeons & Dragons (USA, Europe)	Advanced Dungeons and Dragons ist ein Action-/Abenteuerspiel, bei dem sich der Held auf die Suche nach einer Krone begeben muss, deren zwei Teile von Minotauren auf dem Gipfel eines Berges gehalten werden. Bevor Sie dorthin gelangen, müssen Sie in jedem Spiel eine zufällig generierte Karte durchqueren. Die Farbe des endgültigen Berges bestimmte den Schwierigkeitsgrad der Karte: Weiße Berge galten als leicht, blaue Berge galten als mittelschwer, rote Berge galten als schwierig und lila Berge galten als ... böse!
Advanced Dungeons & Dragons - Treasure of Tarmin (USA, Europe)	Advanced Dungeons and Dragons ist ein Action-/Abenteuerspiel, bei dem sich der Held auf die Suche nach einer Krone begeben muss, deren zwei Teile von Minotauren auf dem Gipfel eines Berges gehalten werden. Bevor Sie dorthin gelangen, müssen Sie in jedem Spiel eine zufällig generierte Karte durchqueren. Die Farbe des endgültigen Berges bestimmte den Schwierigkeitsgrad der Karte: Weiße Berge galten als leicht, blaue Berge galten als mittelschwer, rote Berge galten als schwierig und lila Berge galten als ... böse!
Air Strike (USA) (Proto)	Sie fliegen mit einem Doppeldecker über feindliches Gebiet. Werfen Sie Bomben auf Fabriken und Munitionsdepots. Fordern Sie feindliche Flugzeuge in Luftkämpfen auf Leben und Tod heraus!
Armor Battle (USA, Europe) (Fast Tanks)	Es ist ein gepanzerter Konflikt und Sie befehligen die Speerspitze! In dieser computergestützten Panzerschlacht gibt es jede Menge Kampfeinsätze! Manövrieren Sie zwei Panzer durch Hunderte verschiedener Gelände! Die Schlachten werden mit einer ganzen Reihe simulierter Soundeffekte ausgetragen, um den Realismus zu steigern!
Astrosmash (USA, Europe)	Sie befehligen eine Batterie Laserkanonen. Du hast unbegrenzt Munition und jede Menge Ziele zum Abschießen! Sie können große Punkte erzielen, indem Sie einen endlosen Strom von Meteoriten, Bomben, Lenkflugkörpern stoppen und UFOs zerstören. Es ist jede Sekunde schnell, spannend und actiongeladen! Wenn Sie gut genug sind, kann Ihre Punktzahl Millionen erreichen und je mehr Punkte Sie erzielen, desto schneller kommen sie!
Atlantis (USA, Europe)	Die verlorene Stadt Atlantis wird angegriffen! Welle um Welle von Gorgon-Schiffen nähert sich, jedes mit Waffen bewaffnet, die in der Lage sind, einen Teil der Stadt zu zerstören. Sie sind für die Kommandoposten am Rande der Stadt verantwortlich und müssen diese vor den Eindringlingen verteidigen. Die verschiedenen Gorgon-Flugzeuge werden in unterschiedlicher Anzahl und in unterschiedlichen Flugmustern weiter auf dem Bildschirm vorbeifliegen. Zuerst fliegen sie hoch in den Himmel, dann aber immer tiefer. Wenn ein Feind ihn tief genug senkt, bevor Sie ihn zerstören, wird er seine Waffen einsetzen und eines der Gebäude in Atlantis zerstören. Je weiter Sie im Spiel voranschreiten, desto schneller wird das gegnerische Schiff. Das Spiel endet, wenn alle verbleibenden Gebäude in der Stadt zerstört wurden.
Auto Racing (World) (Car-Relative Steering)	Auto Racing ist ein Rennspiel für ein oder zwei Spieler, bei dem der Spieler eines von fünf Autos mit jeweils unterschiedlichen Spezialitäten fährt. Der Spieler kann auf fünf verschiedenen, ziemlich großen Strecken Rennen fahren. Im Ein-Spieler-Spiel rennt der Spieler gegen die Uhr, um so schnell wie möglich fünf Runden zu beenden. Im Zwei-Spieler-Spiel kann der Spieler gegen einen Freund antreten und Punkte sammeln, wenn der Gegner abstürzt oder einer weit genug voraus ist, um den Rand des Bildschirms zu erreichen.
B-17 Bomber (USA, Europe)	B-17 Bomber spielt gegen Ende des Zweiten Weltkriegs. Als Pilot einer B-17 besteht Ihre Mission darin, über den Ärmelkanal zu fliegen und verschiedene strategische Ziele zu bombardieren. Zuerst müssen Sie ein Ziel auswählen, das viele Ziele bietet. Je weiter das Ziel von Ihrer Heimatbasis entfernt ist, desto mehr Punkte können Sie verdienen, aber je mehr Boden abgedeckt werden muss, desto mehr feindliche Jäger blockieren das Ziel und es wird mehr Treibstoff benötigt. Sobald ein Ziel festgelegt ist, müssen Sie Ihr Flugzeug mit Bomben und Treibstoff bestücken und dann abheben! Sie haben nun vom Flugzeug aus die Ego-Perspektive und können steuern, welche von mehreren Ansichten aktiv ist. Wenn Sie versuchen, Ziele zu bombardieren, blicken Sie von den Bombay-Türen direkt nach unten. Wenn Sie eine Stimme hören, die ankommende feindliche Flugzeuge ankündigt, müssen Sie den Blick auf eines der Geschütze richten und sich verteidigen. Schließlich können Sie vom Cockpit aus einen Blick auf die Steuerung des Flugzeugs werfen. Wenn Ihr Treibstoff zur Neige geht oder Ihr Flugzeug zu viel Schaden erleidet, können Sie zur Reparatur zu Ihrer Heimatbasis zurückfliegen und dann wieder abheben, um so viele Ziele wie möglich zu bombardieren!
Beamrider (USA, Europe)	BeamRider und ein Shooter-Spiel auf Intellivision. Sie steuern ein Schiff, das 99 Level voller feindlicher Außerirdischer durchlaufen muss, die unser Weltraumprogramm blockieren wollen. Dafür verfügt das Schiff über Laserfeuer und Torpedos.
