#key	synopsis
Advanced Dungeons & Dragons (USA, Europe)	Insegui l'antica Corona dei Re in Advanced Dungeons & Dragons Cartridge. Sei tu che controlli un gruppo di tre persone equipaggiato con tre frecce ciascuno, anche se puoi trovare più frecce durante la tua ricerca. Cerca nella terra di Cloudy Mountain ed esplora grotte con molti nemici che cercano di fermare i tuoi progressi. Quattro livelli di difficoltà mantengono il gioco fresco e stimolante per professionisti o dilettanti.
Advanced Dungeons & Dragons - Treasure of Tarmin (USA, Europe)	Insegui l'antica Corona dei Re in Advanced Dungeons & Dragons Cartridge. Sei tu che controlli un gruppo di tre persone equipaggiato con tre frecce ciascuno, anche se puoi trovare più frecce durante la tua ricerca. Cerca nella terra di Cloudy Mountain ed esplora grotte con molti nemici che cercano di fermare i tuoi progressi. Quattro livelli di difficoltà mantengono il gioco fresco e stimolante per professionisti o dilettanti.
Dig Dug (USA)	Fatti strada in un labirinto di passaggi sotterranei, dando la caccia al letale Pooka e allo sputafuoco Fygar! Irrompi nei loro tunnel, sparagli con il tubo dell'aria, gonfiali e... POP! Semplice? Non esattamente, perché ora ti stanno dando la caccia! Inizia un nuovo tunnel... scava sotto quella roccia poco più avanti... calcola il momento giusto... BAM! La roccia cade su Fygar! Ora dov'è quel Pooka...? - Tutto il divertimento e le emozioni del successo arcade! - Dai la caccia a Pooka e Fygar attraverso un labirinto di tunnel! Pompali pieni d'aria finché non esplodono o lasciano cadere rocce su di loro! Catturali in profondità per il maggior numero di punti! - Attento! Pooka e Fygar possono trasformarsi in fantasmi e viaggiare attraverso la roccia solida per scappare o attaccare! - Raccogli frutta e verdura così come appaiono per ottenere punti bonus! - Svuota i tunnel e passa al livello successivo - per un'azione più veloce ed emozionante di prima!
Dragonfire (USA, Europe)	I tesori del re sono stati rubati! Nei panni di un giovane e audace principe, il vostro obiettivo è quello di recuperarli tutti. I tesori sono custoditi in diversi castelli, ciascuno sorvegliato da un drago di fuoco. Ogni livello del gioco è composto da due parti: per prima cosa bisogna attraversare il ponte levatoio del castello. Dovrete saltare e schivare le palle di fuoco dei draghi ed evitare le frecce volanti per raggiungere l'altro lato! Nella seconda parte, dovete raccogliere tutti i tesori sullo schermo e metterli in un posto sicuro, evitando il drago che corre nella parte inferiore dello schermo. I draghi di ogni livello hanno diversi schemi di movimento e di tiro e, con l'avanzare dei livelli, diventano sempre più veloci e complicati.
Nova Blast (USA, Europe)	Dovete difendere 4 città fortificate dagli invasori che attaccano sia in aria che a terra. Ogni città ha uno scudo che può sopportare un solo colpo. Il giocatore controlla una nave che può sparare laser in orizzontale e lanciare bombe in verticale. La nave è anche dotata di un raggio energetico che può assorbire l'energia dai carri armati e usarla per creare scudi temporanei intorno alle città non protette. Se tutte e 4 le città vengono distrutte o la nave viene colpita 10 volte in un turno, la partita termina.
River Raid (USA, Europe)	River Raid è uno sparatutto a scorrimento verticale. Si controlla un aereo da combattimento e si deve distruggere un ponte vitale per il nemico. Il fiume che state sorvolando è pesantemente sorvegliato da carri armati, elicotteri e aerei nemici che cercheranno di fermarvi. Lungo il percorso dovrete sorvolare i depositi di carburante per rifornirvi e continuare a volare. Le munizioni sono illimitate, è possibile distruggere veicoli nemici, ponti e depositi di carburante. Le collisioni con le sponde del fiume e con i veicoli sono fatali.
Spiker - Super Pro Volleyball (USA)	Caratteristiche Pallavolo al coperto (6 persone) in una palestra e pallavolo all'aperto (2 uomini) sulla spiaggia. Simulazione realistica di pallavolo con servizio, urtando, set, salti, picchi, blocchi, tuffi e scavi. Come giocatore, controlli ogni membro della tua squadra. Punta i tuoi servizi; passare la palla al palleggiatore; manovella sulla punta; balza per bloccare la punta.
Star Wars - The Empire Strikes Back (USA, Europe)	La rivincita dell'Impero è iniziata! In questo mom
Super Cobra (USA, Europe)	Super Cobra è un gioco di sparatorie a scorrimento laterale basato sul gameplay arcade.Sei un pilota di elicotteri in missione di sorveglianza in territorio nemico, il tuo obiettivo è quello di superare i vari percorsi ad ostacoli e segnare il maggior numero di punti possibile. Edifici alti, montagne, tunnel stretti e vari nemici (come carri armati, razzi, mine e altro) possono ostacolarvi e distruggere il vostro elicottero se non fate attenzione. Per difendersi, l'elicottero è armato di una mitragliatrice e di bombe che possono essere utilizzate per distruggere i carri armati e i razzi nemici. Per rendere il compito più difficile, il vostro elicottero ha una quantità limitata di carburante. In tutto il paesaggio ci sono serbatoi di carburante: se uno di questi viene colpito o bombardato, riceverà carburante extra.
Tower of Doom (USA)	Tower of Doom è un titolo di avventura per giocatore singolo ispirato a Dungeons & Dragons creato esclusivamente per Intellivision. Scegli tra 10 diverse classi di personaggi, ognuna con i suoi punti di forza. Sono disponibili 7 missioni diverse, con le missioni più difficili con mappe casuali ed effetti di oggetti magici. Dopo aver scelto la missione in cui intraprendere, i giocatori controlleranno il proprio personaggio utilizzando una vista dall'alto della sezione del dungeon in cui si trovano, i corridoi e le stanze verranno disegnati sullo schermo mentre li esplorano. Inoltre a disposizione del giocatore c'è una visualizzazione dell'inventario del personaggio che può essere utilizzato in qualsiasi momento e una mappa sullo schermo dell'intero dungeon. L'incontro con una creatura avvierà una schermata di battaglia in cui i giocatori possono combattere la creatura o tentare di corromperla con oggetti che hanno scoperto. Oggetti magici e trappole possono essere trovati anche nel dungeon, ognuno con effetti unici sul giocatore.
World Cup Soccer (USA, Europe)	Gioca contro il computer o gioca contro un amico. Con l'adattatore per computer ECS opzionale, tre o quattro giocatori possono giocare o due possono giocare contro il computer. World Cup Soccer è una versione avanzata dell'originale Soccer di successo. Ti consente di giocare con un avversario o contro la tua unità Intellivision. Offre un gameplay più realistico con caratteristiche di gioco aggiuntive come la direzione del pallone, il contrasto, la possibilità di cambiare giocatore durante il gioco e il calcio diretto o indiretto dopo che sono stati chiamati i rigori. È così realistico avere una squadra completa di giocatori.
