#key	synopsis
Banshee (Europe) (En,Fr,De,Da)	Banshee è un classico sparatutto verticale, che ricorda titoli come la serie 194x o Tiger Heli. A bordo del vostro aereo, dovrete sparare alle numerose squadre nemiche che vi si pareranno contro. Per farlo, avrete a disposizione un cannone a doppio colpo che all'inizio non è molto efficace. Fortunatamente, di tanto in tanto appariranno dei bonus che vi permetteranno di accedere a nuove armi: colpi laterali o diagonali, missili a distanza... E queste armi aggiuntive saranno molto utili, perché i nemici sono numerosissimi e la vostra arma di base è irrimediabilmente inefficace. Altri bonus miglioreranno la vostra armatura o vi restituiranno un po' di vita, rappresentata sullo schermo da un indicatore che si svuota quando la Banshee subisce dei colpi.
Beneath a Steel Sky (Europe) (En,Fr,De,It)	Beneath a Steel Sky è un gioco d'avventura ambientato in un universo Cyber-Punk, in Australia dopo che il mondo è stato devastato dall'inquinamento e da numerose guerre nucleari. Il giocatore veste i panni di Foster, un giovane adulto che è stato rapito da bambino dai negrieri. Durante un trasporto, riuscite a fuggire. Da quel momento inizia il vostro viaggio. Dovrete viaggiare per il mondo per trovare ciò che vi serve per sopravvivere in questo universo ostile.
Cannon Fodder (Europe)	Guidate una squadra di un massimo di sei soldati attraverso diverse zone di battaglia in questo gioco d'azione/strategia dall'alto verso il basso. Si seleziona un soldato o un gruppo e si clicca su un pulsante per spostarlo in una determinata posizione e su un altro per sparare a un nemico. È anche possibile raccogliere granate o razzi che possono essere utilizzati per distruggere gruppi di nemici, edifici o determinati veicoli. Ogni missione ha un obiettivo specifico e alcune coinvolgono veicoli come i carri armati. Le truppe possono attraversare l'acqua ma non possono spararvi dentro, quindi trovare e controllare i ponti è spesso fondamentale. Potete sfruttare la disposizione degli alberi per trovare nascondigli da cui sparare, ma fate attenzione ai soldati nemici che fanno lo stesso.
Chambers of Shaolin (Europe)	Sei ancora solo un apprendista, ma già sogni di diventare l'eguale dei più grandi monaci Shaolin. Non per la gloria, non per l'onore. E ancor meno per il denaro. Ma per raggiungere la realizzazione nell'abnegazione. La beatitudine nell'altruismo. Quindi, solo quando sarai riuscito a progredire superando le varie prove nelle camere Shaolin e avrai avuto il privilegio di competere con i migliori combattenti del tempio, sarai ritenuto idoneo ad affrontare la tua sfida più grande: abbattere il drago rosso.
Darkseed (Europe)	Dark Seed è un gioco d'avventura in terza persona in cui si impersona Mike Dawson. Questo brillante pubblicitario è alla ricerca di solitudine per dedicarsi alla scrittura. La sua ricerca lo porta a Woodland Hills, dove acquista una magnifica villa vittoriana per una cifra irrisoria. Ma non appena arriva alla villa, un'irresistibile voglia di dormire lo costringe ad assopirsi. Il gioco inizia quando Mike si sveglia con un fastidioso mal di testa che gli impedisce di pensare: un incubo ossessionante, misteriose sparizioni, abitanti che si barricano in casa, agenti di polizia poco collaborativi. Tre giorni è il tempo a disposizione per capire cosa sta succedendo e per fermare la cospirazione organizzata dagli alieni, in agguato in un mondo oscuro collegato al nostro da uno specchio. Lo stesso appeso nel salotto di Mike Dawson.
Dragonstone (Europe) (En,Fr,De)	Dragonstone è molto influenzato da Zelda. Il gioco è diviso in 7 livelli, tra foreste e grotte in un'atmosfera fantastica. Sei armato con una spada e un attacco speciale. I nemici sconfitti danno cibo o oro ...
Exile (Europe)	Quando una squadra di terraforming su un pianeta inesplorato invia messaggi preoccupanti alla Terra e poi non risponde affatto, un avventuriero spaziale viene inviato a scoprire cosa è successo. Il giocatore assume il ruolo di un astronauta che deve esplorare una gigantesca rete sotterranea extraterrestre. Fin dall'inizio, ha a disposizione un'intera gamma di armi e poteri. Si muove con un jet pack, che è soggetto alla gravità, al vento e alla propria inerzia. Anche gli oggetti sono soggetti alle leggi della fisica. Quando un astronauta muore, riappare nell'ultimo punto di teletrasporto. Il giocatore deve trovare il modo di raggiungere le profondità del pianeta per salvare la squadra di terraformazione e sconfiggere il malvagio Triax!
Fears (Europe)	Uno dei numerosi giochi in stile Doom per Amiga a metà degli anni '90. Come Gloom, è stato pubblicato da Guildhall Leisure, che ha dedicato molto tempo all'Amiga in quell'epoca. I timori hanno adottato l'approccio di avere una grafica a schermo intero, anche se a risoluzione relativamente bassa. I paesaggi pianeggianti sono caratterizzati da molte scale e ascensori, conferendogli un'atmosfera pseudo-3D. Il gioco si gioca su 30 livelli, con incluso anche un level designer. Il gioco per un giocatore ha 3 livelli di difficoltà, mentre l'azione multi-giocatore è disponibile tramite un cavo null-modem.
Frontier - Elite II (Europe)	Frontier: Elite II è il seguito di Elite e prosegue più o meno nello stesso modo. Avete una sola nave e fondi limitati, e non potete andare da nessuna parte se non nello spazio. Commerciare, combattere, rintracciare criminali, lavorare per vari governi: tutto è possibile in Frontier. I limiti a ciò che si può fare o a dove si può andare sono pochi, se non nulli. E l'universo di Frontier (con circa 100.000.000.000 di pianeti e lune) è così grande che non ne vedrete mai la fine.
Gunship 2000 (Europe)	In questa simulazione di elicotteri, prendete il controllo di Apache, Blackhawk, Commanche o MD-500 per pilotare le vostre campagne o missioni. Il motore grafico è stato aggiornato e offre variazioni del terreno molto più dettagliate, con valli e colline reali e persino tunnel ferroviari che si possono attraversare. Quando si viene promossi a un grado sufficientemente alto, si possono prendere più elicotteri per raggiungere i propri obiettivi. L'equipaggio impara e acquisisce esperienza man mano che sopravvive e completa le missioni. Un registratore di missioni completo permette di vedere ogni membro della squadra combattere o morire. Sono disponibili anche numerose armi.
