#key	synopsis
Advanced Dungeons & Dragons (USA, Europe)	Em Advanced Dungeons & Dragons, o jogador embarca em uma aventura de exploração de masmorras, enfrentando desafios que exigem estratégia e gerenciamento cuidadoso de recursos limitados, como itens e energia. O jogo apresenta controles sofisticados que utilizam o teclado numérico e o disco direcional do console, permitindo ações variadas durante o combate e a navegação por labirintos complexos repletos de monstros e tesouros. Os jogadores podem gerenciar inventários e tomar decisões táticas em batalhas que lembram elementos do sistema de regras original do RPG de mesa.
Advanced Dungeons & Dragons - Treasure of Tarmin (USA, Europe)	Em Advanced Dungeons & Dragons, o jogador embarca em uma aventura de exploração de masmorras, enfrentando desafios que exigem estratégia e gerenciamento cuidadoso de recursos limitados, como itens e energia. O jogo apresenta controles sofisticados que utilizam o teclado numérico e o disco direcional do console, permitindo ações variadas durante o combate e a navegação por labirintos complexos repletos de monstros e tesouros. Os jogadores podem gerenciar inventários e tomar decisões táticas em batalhas que lembram elementos do sistema de regras original do RPG de mesa.
Armor Battle (USA, Europe) (Fast Tanks)	Em Armor Battle, os jogadores controlam tanques em um campo de batalha visto de cima, utilizando o teclado numérico do controle do Intellivision para realizar movimentos estratégicos e ataques precisos. O jogo desafia os jogadores a gerenciar munição, navegar por diferentes tipos de terreno e posicionar seus tanques de forma inteligente para eliminar inimigos enquanto evitam ser atingidos. Com elementos táticos que vão além de simples tiroteios, como escolher armas adequadas e planejar rotas seguras, a jogabilidade exige pensamento estratégico constante, tornando cada partida uma experiência envolvente de combate militar simulado.
Astrosmash (USA, Europe)	Em Astrosmash, o jogador controla um canhão terrestre com o objetivo de destruir ou evitar uma chuva contínua de objetos espaciais, como asteroides e mísseis, que caem em direção à base. O jogo começa com velocidades mais lentas, mas gradualmente aumenta a dificuldade conforme mais inimigos aparecem e se movem mais rapidamente, exigindo reflexos rápidos e estratégias para priorizar alvos com diferentes valores de pontuação. A mecânica envolve mover o canhão horizontalmente enquanto atira nos objetos que descem pela tela, evitando colisões que reduzem a energia, com o desafio sempre crescendo à medida que o jogador acumula pontos.
Atlantis (USA, Europe)	Atlantis (Intellivision, 1982) é um shoot 'em up em que o jogador defende a cidade submersa de Atlântida contra ondas de invasores alienígenas chamados Gorgons. Utilizando torres de sentinela ou o comando da Acrópole, é preciso destruir os inimigos antes que destruam os setores da cidade. Inclui mira com cursor, pods lançáveis e fases noturnas com holofotes, além de um sistema de restauração de setores baseado na pontuação.
Auto Racing (World) (Car-Relative Steering)	Em Auto Racing, o jogador controla um carro em uma visão aérea, competindo contra adversários controlados pelo computador ou amigos em partidas multiplayer. É possível ajustar a velocidade e fazer movimentos estratégicos para navegar pelo traçado da pista. O jogador escolhe entre cinco carros de Fórmula 1 com diferentes atributos de velocidade, aceleração e dirigibilidade: - Carro 1 (branco): velocidade máxima 55, aceleração fraca, boa dirigibilidade. - Carro 2 (verde): velocidade 65, aceleração excelente, boa dirigibilidade. - Carro 3 (vermelho): velocidade 75, aceleração média, dirigibilidade boa. - Carro 4 (bege): velocidade 90, aceleração fraca, dirigibilidade regular. - Carro 5 (azul): mesma configuração do carro 4
Beamrider (USA, Europe)	Em Beamrider, o jogador controla uma espaçonave posicionada na parte inferior da tela, tendo que navegar por linhas de feixes enquanto destrói diversas naves inimigas que surgem em padrões de ataque únicos. O jogo exige que o jogador se mova rapidamente entre as diferentes linhas para evitar colisões e eliminar os inimigos antes que eles avancem muito, com o desafio aumentando progressivamente a cada onda. A jogabilidade envolve reflexos rápidos e precisão, já que cada tipo de inimigo apresenta movimentos e estratégias distintas, mantendo o jogador constantemente engajado enquanto enfrenta um ambiente de rolagem vertical suave
BurgerTime (USA, Europe)	Você joga como Chef Pepper e seu objetivo é fazer hambúrgueres gigantes enquanto ovos, salsichas e picles malignos o perseguem pela área de jogo. Para fazer um hambúrguer corretamente, você deve juntar todos os ingredientes, deixando-os cair de cima para baixo na área do hambúrguer. Para fazer isso, você precisa deixar o Chef Pepper pisar nos ingredientes do hambúrguer. Assim que um ingrediente (um pedaço de alface, por exemplo) for pisado, ele cairá no próximo nível abaixo. Os alimentos que caírem esmagarão qualquer inimigo que estiver seguindo você e também &quot;baterão&quot; em qualquer outro ingrediente abaixo dele, mais abaixo. Além disso, como uma defesa de emergência contra a comida inimiga, você pode coletar pimenteiros que lhe permitirão soprar uma pequena nuvem de pimenta que atordoará momentaneamente os inimigos, permitindo que você passe por eles. Níveis mais altos resultam em um novo design de nível, inimigos mais rápidos e mais ingredientes para montar.
Dig Dug (USA)	Em Dig Dug, faça uma guerra subterrânea com o seu arpão de confiança! Vai precisar de derrotar o duro Pooka e o feroz Fygar para avançar para o próximo nível. Rebenta com os teus inimigos para que eles rebentem ou atirem pedras sobre eles! Receberá pontos por se livrar deles ou por recolher itens de bónus. Este jogo clássico é tanto um jogo de acção arcade da velha escola como um jogo de estratégia. Atraia os seus inimigos para onde quer que eles estejam e esmague-os com as rochas!
Dragonfire (USA, Europe)	Os tesouros do rei foram roubados! Como jovem príncipe atrevido, o seu objectivo é recuperá-los a todos. Os tesouros são guardados em castelos diferentes, cada um deles guardado por um dragão de fogo. Cada nível do jogo tem duas partes, primeiro tem de atravessar a ponte levadiça do castelo. Terá de saltar e esquivar-se às bolas de fogo dos dragões e evitar as setas voadoras para alcançar o outro lado! Na segunda parte, é necessário recolher todos os tesouros no ecrã e colocá-los num local seguro, evitando ao mesmo tempo que o dragão corra no fundo do ecrã. Os dragões em cada nível têm diferentes movimentos e padrões de tiro, e à medida que os níveis progridem tornam-se mais rápidos e mais complicados.
Dreadnaught Factor, The (USA)	Você assume o comando de um Hyperfighter com a missão de impedir que os Dreadnaughts alcancem e destruam a Terrao. Cada Dreadnaught é um inimigo que precisa ser derrubado ao longo de sucessivas passagens. O objetivo é bombardear todos os respiradouros de energia da nave inimiga até ela superaquecer e explodir. Ao longo dessas passagens, é possível melhorar a eficácia do ataque afetando outros sistemas, como: - Motores: reduz a velocidade do Dreadnaught - Ponte de comando: diminui a capacidade de retorno de tiros do inimigo - Silos de mísseis: impede que ele dispare contra o planeta quando estiver ao alcance - Artilharia e lançadores de naves: reduz defesas do inimigo Você estará armado com dois tipos de armamento: - Laser bolts: eficazes contra canhões, ponte e lançadores de inimigos. - Strontium bombs: usados para acabar com energy vents, motores e silos
Nova Blast (USA, Europe)	Tens de defender 4 cidades fortificadas contra invasores que atacam tanto no ar como em terra. Cada cidade tem um escudo que aguenta um tiro. O jogador controla uma nave que pode disparar lasers na horizontal e lançar bombas na vertical. A nave também está equipada com um feixe de energia que pode absorver energia dos tanques e usar essa energia para criar escudos temporários à volta das cidades desprotegidas. Se as 4 cidades forem destruídas ou a nave for atingida 10 vezes num turno, o jogo termina.
River Raid (USA, Europe)	River Raid é um jogo de tiro com rolagem vertical. Você controla um avião de combate e deve destruir uma ponte vital para o inimigo. O rio sobre o qual você está sobrevoando está fortemente protegido por tanques, helicópteros e aviões inimigos que tentarão pará-lo. Ao longo do caminho, você terá que sobrevoar os depósitos de combustível para reabastecer e continuar voando. A munição é ilimitada, você pode destruir veículos inimigos, pontes, mas também armazenamento de combustível. As colisões com as margens do rio e também com veículos são fatais.
