#key	synopsis
Berenstain Bears, The - Bij de Berenstain Beren Thuis - Thuis en bij Jou (Netherlands)	The Berenstain Bears: Como Grown-Ups é um livro de histórias interactivo para crianças, baseado na popular série de livros infantis. Uma feira anual chegou ao país dos ursos, mas ninguém tem tempo para ir com o irmão e a irmã ursos. A Mama Ursa concorda em deixá-los ir sozinhos se provarem que podem ser responsáveis. O jogo inclui 29 jogos educativos para crianças. Cada vez que são bem sucedidos, o jogador pode ganhar estrelas. Os jogos incluem limpar a sua sala virtual, levar o autocarro para a escola, combinar o alfabeto, ler o relógio e muito mais. Inicialmente, todos os jogos estão à volta da casa, mas uma vez que o jogador tenha demonstrado responsabilidade, outros jogos são desbloqueados na feira.
Berenstain Bears, The - On Their Own (USA)	The Berenstain Bears: Como Grown-Ups é um livro de histórias interactivo para crianças, baseado na popular série de livros infantis. Uma feira anual chegou ao país dos ursos, mas ninguém tem tempo para ir com o irmão e a irmã ursos. A Mama Ursa concorda em deixá-los ir sozinhos se provarem que podem ser responsáveis. O jogo inclui 29 jogos educativos para crianças. Cada vez que são bem sucedidos, o jogador pode ganhar estrelas. Os jogos incluem limpar a sua sala virtual, levar o autocarro para a escola, combinar o alfabeto, ler o relógio e muito mais. Inicialmente, todos os jogos estão à volta da casa, mas uma vez que o jogador tenha demonstrado responsabilidade, outros jogos são desbloqueados na feira.
Comando Tierra (Spain)	Earth Command é um jogo de simulação estratégica que se centra tanto nas ameaças ecológicas como sociais ao nosso planeta. O jogador assume o papel de chefe de um posto de comando especial das Nações Unidas no espaço. Tem o controlo total para atribuir orçamentos e impostos, enviar assistência de emergência, decretar leis de emergência e outras acções de interesse global. Deve combater tanto as catástrofes naturais como as sociais. O jogo é visto num mapa de cima para baixo do mundo. Sempre que surge uma situação, é acompanhado de vídeos em pleno movimento. O jogo cobre 500 possíveis emergências em 130 países diferentes e inclui imagens de vídeo reais da CNN, Greenpeace e do Departamento de Estado dos EUA, entre outros.
Defender of the Crown (USA, Europe)	Em Defender of the Crown, jogas como um de quatro cavaleiros saxões na Inglaterra medieval, numa altura em que o país está em crise porque o rei morreu e a sua coroa foi roubada. Os saxões e os normandos acusam-se mutuamente e lutam pelo controlo de Inglaterra. Após uma breve introdução feita pelo próprio Robin de Locksley, começas o jogo com um único castelo e 10 soldados às tuas ordens. Depois, tens de construir o teu exército, tomar o controlo de mais territórios e lutar contra os três senhores normandos, mas também, por vezes, contra os teus amigos saxões. O jogo tem vários estilos diferentes: Podes participar num concurso de justas, em que tens de derrubar o teu adversário do cavalo com uma lança, podes ir saquear um castelo para obteres espólio ou podes atacar outro território/castelo.
Earth Command (USA)	Earth Command é um jogo de simulação estratégica que se centra tanto nas ameaças ecológicas como sociais ao nosso planeta. O jogador assume o papel de chefe de um posto de comando especial das Nações Unidas no espaço. Tem o controlo total para atribuir orçamentos e impostos, enviar assistência de emergência, decretar leis de emergência e outras acções de interesse global. Deve combater tanto as catástrofes naturais como as sociais. O jogo é visto num mapa de cima para baixo do mundo. Sempre que surge uma situação, é acompanhado de vídeos em pleno movimento. O jogo cobre 500 possíveis emergências em 130 países diferentes e inclui imagens de vídeo reais da CNN, Greenpeace e do Departamento de Estado dos EUA, entre outros.
Earth Rhythms (USA)	Descubra um mundo fascinante e poderoso que se estende até os confins da Terra. Este álbum apresenta música do mundo vibrante, alegre e rítmica, acompanhada de paisagens naturais de tirar o fôlego. Relaxe ao som suave da natureza e desfrute de uma coleção de imagens impressionantes e inspiradoras.
Flashback (USA)	A história começa em 2042 quando Conrad B. Hart toma conhecimento de uma conspiração envolvendo alienígenas hostis espalhados entre a população. Eles raptam-no, mas Hart consegue escapar. Logo é apanhado e cai no coração da selva de Titã, um satélite de Saturno. O jogador tem de enfrentar os perigos da selva circundante e desmascarar o enredo. Embora grande parte da jogabilidade seja dedicada a correr, saltar e disparar contra os inimigos, há também um elemento considerável de exploração, bem como a resolução de alguns puzzles. O jogador navega Conrad através de estruturas de plataformas, fazendo diferentes movimentos. É possível saltar, correr, escalar, agarrar-se a saliências e apanhar objectos. Para se defender, Conrad pode atirar nos inimigos com a sua arma e usar vários objectos para os ferir ou distrair.
Gnomes (USA)	Você gostaria de saber com que idade um Gnomo se aposenta, qual a sua força em comparação com a de um humano e como ele lida com Trolls e Snotgurks?
Lords of the Rising Sun (USA)	Lords of the Rising Sun é um videojogo de 1989 de Cinemaware, game design e arte de Doug Barnett, lançado para o Amiga entre outros sistemas. século XII. Depois que seu pai foi assassinado, você decide se tornar Shogun para restaurar a honra de sua família. Você terá que derrotar todos os seus inimigos - incluindo seu irmão. Na maioria das vezes, você moverá suas tropas pelo grande mapa do Japão - assim que algo acontecer, você terá que lutar contra seus inimigos em sequências de ação, como um ataque de fortaleza parecido com o Gauntlet ou a defesa contra um assassino Ninja. . Se duas tropas colidirem, uma batalha poderá acontecer, na qual você terá que usar todas as suas habilidades estratégicas para guiar seus homens à vitória. Na versão CD-i, as sequências informativas incluem FMVs de ator de vida e dublagem, bem como novas artes de fundo.
Marco Polo (Europe) (Disc 1) (The Game)	Como jovem comerciante veneziano, partiu para conquistar a Ásia para fazer a sua fortuna. Mas o seu caminho será cheio de armadilhas, e os vendedores que encontrar nem sempre serão honestos. Com uma miserável quantia de dinheiro, terá de fazer crescer o seu dinheiro em algumas das 60 cidades que compõem o jogo. Mas para negociar, terá de ser conhecido e confiado por ambos os lados. Após uma série de tarefas, poderá construir a sua própria imagem e ganhar importância, a fim de se tornar um comerciante de renome.
Monty Python's Invasion from the Planet Skyron (Europe)	Você guia um grupo chamado Garotos Perdidos através de nove níveis, nos quais você deverá encontrar por si só o que deverá fazer. Cada nível consiste em uma tela em Mon típico.
Name That Tune (USA)	Nome That Tune é um teste de música apresentado por Bob Goen. É uma adaptação do programa de televisão americano com o mesmo nome. Neste jogo, o jogador é questionado sobre 160 categorias diferentes e ouve 600 canções diferentes, desde os anos 50 até aos 90. O programa tem quatro rondas diferentes com jogabilidade diferente.
Ours Berenstain, Les - Comme des Grands (France)	The Berenstain Bears: Como Grown-Ups é um livro de histórias interactivo para crianças, baseado na popular série de livros infantis. Uma feira anual chegou ao país dos ursos, mas ninguém tem tempo para ir com o irmão e a irmã ursos. A Mama Ursa concorda em deixá-los ir sozinhos se provarem que podem ser responsáveis. O jogo inclui 29 jogos educativos para crianças. Cada vez que são bem sucedidos, o jogador pode ganhar estrelas. Os jogos incluem limpar a sua sala virtual, levar o autocarro para a escola, combinar o alfabeto, ler o relógio e muito mais. Inicialmente, todos os jogos estão à volta da casa, mas uma vez que o jogador tenha demonstrado responsabilidade, outros jogos são desbloqueados na feira.
Rise of the Robots (Europe)	O Rise of the Robots é um jogo de luta 2.5D. Joga-se como o cyborg Eco35-2, meio-robô meio-homem, criado pela empresa Electrocorp, a fim de contrariar o motim que está a ser produzido na sua fábrica Metropolis 4, após a reprogramação de certos robôs injectando-os com o vírus EGO, tornando-os conscientes da sua situação e, portanto, agressivos. Terá de os combater um a um em batalhas de duelo para parar esta rebelião. O título destinava-se a ser graficamente revolucionário. Mas embora os robôs de combate sejam bastante bonitos (com sprites 3D transcritos num universo 2D), o cenário é apenas em 2D estático e sem graça. Além disso, a animação dentro do jogo é lenta, mesmo bastante &quot;pesada&quot;, com impacto directo na manipulação. A lentidão do seu robô e o poder variável dos inimigos (ao ponto de alguns robôs serem ultra poderosos e atomizarem-no em dois disparos) rapidamente tornam as lutas desequilibradas.
Whack a Bubble (Europe)	Bater uma bolha é um jogo na veia do Breakout. Controla-se uma raquete na parte inferior do ecrã e tem de limpar as bolhas na parte superior do ecrã, fazendo ricochetear uma bola contra elas. Se a bola deixar o ecrã na parte inferior, perde-se uma vida. O jogo tem 100 níveis e 3 dificuldades. O jogo também apresenta um modo de dois jogadores em que os jogadores competem um contra o outro.
