#key	synopsis
A.E. (USA) (Proto)	A.E., raggi volanti mortali provenienti da un altro mondo. Cacciano in &quot;branchi&quot; veloci e la loro puntura è letale. Dovete colpirli con la vostra pistola a doppia azione prima che vi uccidano. Continuate a muovervi e non fatevi distrarre dalle manovre serpentine di A.E.... - O potreste non vivere per raccontarlo!
Boulder Dash (USA)	Sei Rockford e devi scavare in grotte infestate da mostri in cerca di diamanti. In ogni livello devi raccogliere un certo numero di questi diamanti, per aprire un portale per la fase successiva. I nemici possono essere schiacciati da massi che cadono, che vengono rilasciati quando viene rimosso il terreno sottostante o vengono spinti su un terreno vuoto, ma fai attenzione perché questi possono anche schiacciarti. Nei livelli successivi, la difficoltà è aumentata di molti elementi del puzzle e limiti di tempo più brevi.
Choplifter! (USA)	Choplifter è un gioco d'azione/arcade a scorrimento laterale che ti mette al comando di un elicottero d'attacco. La tua missione: vai dietro le linee nemiche e salva fino a 16 ostaggi per livello. Fai attenzione però, perché i carri armati e gli aerei nemici cercheranno di fermarti e non smetteranno di sparare mentre salvi quegli ostaggi!
Cosmic Crisis (Europe)	Senti quella gioia segreta dei demoni? Dato che è così gravemente infestato da quei demoni energici, sembra che, questa volta, il mondo si stia terribilmente avvicinando alla crisi della sopravvivenza. Di fronte a te ci saranno i nemici più duri incontrati e potrai fare affidamento solo su te stesso. Nessun combattimento però, non ti farebbe bene; l'unica possibilità è il martello nella tua mano e l'intelligenza nella tua testa. Fatto? Bene, ora inizia e vinci una bellissima vittoria!
Dig Dug (USA) (Proto)	In Dig Dug, scatena una guerra sotterranea con il tuo fidato arpione! Dovrete sconfiggere il tenace Pooka e il feroce Fygar per passare al livello successivo. Fate esplodere i vostri nemici in modo che esplodano o fate cadere delle rocce su di loro! Otterrete punti per eliminarli o per raccogliere oggetti bonus. Questo gioco classico è sia un gioco d'azione arcade vecchia scuola che un gioco di strategia. Attirate i nemici dove volete e schiacciateli con le rocce!
Dragonfire (USA)	I tesori del re sono stati rubati! Nei panni di un giovane e audace principe, il vostro obiettivo è quello di recuperarli tutti. I tesori sono custoditi in diversi castelli, ciascuno sorvegliato da un drago di fuoco. Ogni livello del gioco è composto da due parti: per prima cosa bisogna attraversare il ponte levatoio del castello. Dovrete saltare e schivare le palle di fuoco dei draghi ed evitare le frecce volanti per raggiungere l'altro lato! Nella seconda parte, dovete raccogliere tutti i tesori sullo schermo e metterli in un posto sicuro, evitando il drago che corre nella parte inferiore dello schermo. I draghi di ogni livello hanno diversi schemi di movimento e di tiro e, con l'avanzare dei livelli, diventano sempre più veloci e complicati.
Flipper Slipper (USA, Europe)	Si tratta di un gioco a tema acquatico simile a Breakout, con la particolare meccanica delle racchette curve, che possono far rotolare la palla su di esse e rimbalzare ad angoli insoliti.
Fortune Builder (USA)	La tua comunità sorgerà su una mappa di territorio non edificato, composta da una costa con spiaggia, due catene montuose, zone collinari, un fiume e un lago, con un'autostrada principale che corre da nord a sud. Inizierai con una somma di denaro fissa, che ti permetterà di acquistare e costruire un'ampia varietà di immobili: hotel, condomini, porti turistici, fabbriche, centri commerciali, distributori di benzina e numerose altre strutture.
Fraction Fever (USA)	L'obiettivo del giocatore è avanzare fino al ventesimo piano con l'aiuto del suo trampolo e degli Ascensori delle Frazioni presenti su ogni piano. Per trovarli, il giocatore deve cercare le immagini delle frazioni corrette, che corrispondono a quelle mostrate nella parte superiore dello schermo, mentre un radar mostra la disposizione dei piani in basso. Le frazioni errate possono essere abbattute per ottenere punti, ma questo lascia dei buchi nei pavimenti. Se il giocatore non riesce a saltare sopra questi buchi e cade troppo in basso o più volte, il gioco termina. C'è anche un limite di tempo da tenere d'occhio: se il cronometro raggiunge lo zero, l'Ascensore delle Frazioni del piano corrente non può essere raggiunto e il giocatore deve saltare al piano inferiore per poter riprovare.
Frantic Freddy (USA)	Freddy deve correre avanti e indietro sul pavimento, schivando i detriti che cadono mentre spara acqua sulle fiamme nelle finestre di un edificio. Quando tutti gli incendi sono spenti, il gioco passa al piano successivo, dove Freddy può arrampicarsi tra i piani, sparando a sinistra e a destra invece che verso l'alto. In questi livelli ci sono due tipi di fiamme: quelle rosse e quelle viola. Quelle viola sono più aggressive, seguono Freddy sullo schermo e possono essere spente solo dopo aver estinto tutte quelle rosse. Il gioco procede in questo modo, alternando livelli in cui si spara verso l'alto e livelli in cui si spara lateralmente.
