#key	synopsis
3D Atlas (USA)	3D Atlas ist ein Lerntitel, der 3D-Grafiken auf zwölf verschiedenen Arten rotierender Globen, Zeitraffer-Videosequenzen, Animationen, die Veränderungen auf dem Planeten wie die Zerstörung der Ozonschicht zeigen, und mehr bietet. Es enthält ein sogenanntes „herausforderndes Quiz“. namens „Around The World“, das von ein bis drei Spielern gespielt werden kann. Jeder Spieler stellt sich in seinem Zug einer Runde mit fünf Fragen. Jede Frage hat einen bestimmten Zeitpunkt und ist eine bestimmte Anzahl an Punkten oder Flugmeilen wert, dieser Wert nimmt jedoch mit der Zeit ab. Wenn eine Runde beendet ist, zeigt das Spiel ein humorvolles Video eines Transportmittels, normalerweise eines frühen Flugzeugs. Wenn alle Spieler ihre Runde beendet haben, zeigt das Spiel eine Darstellung der Erde und wie weit die Spieler mit ihren gesammelten Flugmeilen gereist sind. Die Fragen basieren offensichtlich auf der Geographie und den Ländern der Welt. Die Identifizierung einer NATO-Flagge ist eine häufig gestellte Frage, ebenso wie das Erkennen eines Landes anhand eines Bildes seiner Landschaft oder eines lokalen Marktes. Auch die Kenntnis von Hauptstädten und wichtigen Exportgütern hilft. Das Quiz endet, wenn ein Spieler eine komplette Erdumrundung gemacht hat . Die Anzeigetafel zeigt keine hohen Punktzahlen an, da eine Reise um die Erde immer die gleiche Distanz hat, sondern zeigt den Prozentsatz der richtig beantworteten Fragen an.
Agi Gongnyong Goldie (Korea)	Agi Gongnyong Goldie ist ein südkoreanisches Edutainment-Spiel, das Abenteuer, Lerninhalte und kindgerechte Animationen miteinander verbindet. Hauptfigur ist Goldie, ein neugieriger kleiner Dinosaurier, der in einer bunten Welt voller Rätsel, Musik- und Reaktionsspiele unterwegs ist. Ziel ist es, spielerisch Wissen zu vermitteln – etwa Farben, Zahlen oder logisches Denken – eingebettet in kurze Geschichten und interaktive Szenen. Die Steuerung ist einfach gehalten, sodass auch jüngere Spieler problemlos durch die handgezeichneten Umgebungen navigieren können. Typisch für viele 3DO-Produktionen bietet das Spiel reichlich vertonte Dialoge, charmante Musik und farbenfrohe FMV-Zwischensequenzen. Agi Gongnyong Goldie gilt heute als seltenes Beispiel für koreanische 3DO-Software und als liebevoll gemachtes Lernabenteuer, das den pädagogischen Anspruch mit der Ästhetik der 90er verbindet.
AI Shougi (Japan)	AI Shogi (AI将棋) ist ein Brettspiel Simulator für den 3DO. Es bietet die möglichkeit Shogi, auch Japanisches Schach genannt, gegen eine K.I. zu spielen.
Alone in the Dark (USA)	Jeremy Hartwood hat in seinem Anwesen in Louisiana namens Derceto Selbstmord begangen. Sie übernehmen entweder die Rolle von Edward Carnby, einem Privatdetektiv, oder von Emily Hartwood, Jeremys Nichte, und untersuchen den verdächtigen Tod. Das dreistöckige Herrenhaus soll angeblich von seinem exzentrischen früheren Besitzer heimgesucht werden, und sehr schnell merken Sie, dass es wirklich so ist. Verdrehte Ratten, Zombies und Riesenwürmer gehören zu den Feinden, die hinter Ihnen her sind, und Sie müssen irgendwie entkommen. Alone in the Dark ist ein Action-Adventure-Survival-Horror-Spiel. Die Aktion wird aus einer Reihe von festen Blickwinkeln dargestellt. Die Hintergründe sind zweidimensionale gemalte Bilder, während der Spielercharakter, alle Gegenstände und Monster als dreidimensionale Modelle gerendert sind.
Alone in the Dark 2 (USA)	In Alone in the Dark 2 übernehmen Sie die Rolle des Detektivs Edward Carnby, einer der beiden Hauptfiguren im Original Alone in the Dark. Carnby wird nun beauftragt, einen Schmuggler namens One Eyed Jack zu untersuchen, nachdem ein alter Detektivkollege namens Stryker Jack die Entführung der jungen Grace Saunders zuschreibt. Stryker versucht, Jacks heruntergekommenes Herrenhaus in Hell's Kitchen zu infiltrieren und das Mädchen zu retten, verschwindet jedoch selbst. Hier kommt Carnby ins Spiel. Carnby lernt bald, dass Jack und seine Gangster wirklich Piraten aus dem 15. Jahrhundert sind, die nach Jacks Zusammenarbeit mit Elizabeth Jarret, einer Voodoo-Hexe, Unsterblichkeit erlangten. Die dunkle Magie, die sie unsterblich hält, erfordert jedoch auch regelmäßige menschliche Opfer (was die Entführung von Grace erklärt).
Another World (Europe)	Another World (bekannt als Out of This World in den U.S.A. und Outer World in Japan) ist ein Action-Adventure-Spiel, das von Eric Chahi entworfen und entwickelt wurde und den Spieler in die Rolle eines rothaarigen Physikers versetzt, der auf einem fremden Planeten gefangen ist. Das Spiel beginnt, als ein Blitz das Labor von Lester Chaykin trifft, der Experimente durchführt. Die Explosion projiziert den jungen Wissenschaftler in eine besonders feindliche Parallelwelt. Lester wird schnell von einer humanoiden Spezies eingesperrt und trifft auf einen notdürftigen Begleiter.
Aqua World - Umi Monogatari (Japan)	Aqua World - Umibi Monogatari ist ein Spiel, das den Spieler einlädt, das Leben und den Lebensraum in den Tiefen des Meeres zu entdecken und mehr darüber zu lernen.
Armageddon (Korea)	Armageddon ist ein Action-Spiel, das erstellt wurde, um mit dem gleichnamigen animierten Film von 1996 zu korrespondieren. Du kannst zwischen der First- und der Third-Person-Perspektive wechseln, während du ein Raumschiff steuerst, um die Invasoren zurückzudrängen. Das Schiff bewegt sich automatisch vorwärts und muss Hindernissen ausweichen und Feinde im Weltraum zerstören. Im First-Person-Modus bewegst du das Schiff, um das Fadenkreuz auszurichten und eingehende Objekte wie Asteroiden oder Feinde zu beschießen. In der Third-Person-Ansicht hast du etwas mehr Kontrolle, da du das Fadenkreuz bewegen kannst. Gelegentlich erscheinen Power-Ups, die zahlreiche Fähigkeiten wie Elektrobomben verleihen. Wie alle LG 3DO-Spiele ist Armageddon äußerst selten. LG hatte ursprünglich auch einen PC-Port des Spiels angekündigt, ist aber dem Versprechen nie nachgekommen.
AutoBahn Tokio (Japan)	Autobahn Tokio ist ein Rennspiel, das nur in Japan für 3DO veröffentlicht wurde. Die Spieler können aus vier unbenannten Autos mit unterschiedlichen Eigenschaften wählen, die lose auf echten Automodellen basieren. Es gibt drei Strecken - eine Stadt bei Nacht, eine Küstenautobahn und eine Waldstrecke. Die Spieler treten gegen einen CPU-Gegner an und versuchen, in der kürzest möglichen Zeit Checkpoints zu erreichen. Sowohl automatische als auch manuelle Getriebe stehen für jedes Auto zur Verfügung. Die Autos können nicht abgestimmt werden, und es gibt keine Zwei-Spieler-Option. Trotz der Veröffentlichung nur in Japan sind alle Menüs und Spieltexte auf Englisch.
Bakushou!! All Yoshimoto Quiz-ou Ketteisen (Japan)	Bakushou!! All Yoshimoto Quiz-Ou Ketteisen ist ein Spiel der Kategorie &quot;Miscellaneous&quot;, das von TOSE entwickelt und von Yoshimoto Kogyo veröffentlicht wurde. Es wurde 1995 in Japan veröffentlicht.
