#key	synopsis
Advanced Dungeons & Dragons (USA, Europe)	Persigue la antigua Corona de los Reyes en el juego de Advanced Dungeons & Dragons. Controlas un grupo de tres personas equipadas con tres flechas cada una, aunque puedes encontrar más flechas durante tu búsqueda. Explora el territorio de la Montaña Nublada y adéntrate en cuevas llenas de enemigos que intentarán detener tu progreso. Cuatro niveles de dificultad mantienen el juego fresco y desafiante tanto para expertos como para principiantes.
Advanced Dungeons & Dragons - Treasure of Tarmin (USA, Europe)	Persigue la antigua Corona de los Reyes en el juego de Advanced Dungeons & Dragons. Controlas un grupo de tres personas equipadas con tres flechas cada una, aunque puedes encontrar más flechas durante tu búsqueda. Explora el territorio de la Montaña Nublada y adéntrate en cuevas llenas de enemigos que intentarán detener tu progreso. Cuatro niveles de dificultad mantienen el juego fresco y desafiante tanto para expertos como para principiantes.
Air Strike (USA) (Proto)	Estás pilotando un biplano a través del territorio enemigo. Lanza bombas en fábricas y depósitos de municiones. ¡Enfréntate en combates aéreos a muerte contra aviones enemigos! Debido a la popularidad (especialmente entre los programadores de APh y Mattel) del juego de biplanos en el cartucho Triple Action, APh propuso esta versión para un solo jugador. Se mostró a Mattel un prototipo con un terreno montañoso en movimiento y objetivos que podían ser bombardeados. Los gráficos del avión, los efectos de sonido y el control de vuelo se tomaron directamente de Biplanes. (Los aviones enemigos, que habrían representado un desafío de programación de inteligencia artificial, no se incluyeron en el prototipo, pero se prometieron para el juego final). Se lanzó una versión incompleta pero jugable en 1998 en el CD Intellivision Lives!.
Astrosmash (USA, Europe)	En Astrosmash, controlas un cañon laser en la base de la pantalla; la meta es ganar la mayor cantidad de puntos posible destrullendo los meteoritos, bombas y otros objetos que van cayendo. Los meteoritos son la amenaza mas comun de la que debes defenderte. Caen en varios colores y tamaños y algunos se dividen en dos partes mas pegueñas cuando les disparas. Mezclados con los meteoritos estan las bombas rotatorias. mientras que dejar pasar un meteorito solo baja tu puntaje, debes dispararle a las bombas. si se pasa una perderas una vida. En los niveles mas dificiles Ovnis y misiles dirigidos aparecen ocacionalmente e intentan destruir tu cañon. Si te encuentras es una situacion desesperada y sin salida, tu cañon entrara en el hiperespacio y sera transportado instantaneamente a otra ubicacion en la pantalla. Pero ten cuidado por que puedes ser transportado a una situacion aun peor. El juego termina cuando todos tus cañones han sido destruidos.
Atlantis (USA, Europe)	¡La ciudad perdida de Atlántida está bajo ataque! Ola tras ola de naves Gorgon se acercan, cada una armada con armas capaces de destruir una parte de la ciudad. Tú estás a cargo de los puestos de mando en los bordes de la ciudad y debes defenderla de los invasores. Las diferentes naves Gorgon seguirán volando por la pantalla en números variables y en diferentes patrones de vuelo. Al principio vuelan alto en el cielo, pero luego progresivamente más bajo. Si un enemigo llega lo suficientemente bajo antes de que lo destruyas, usará sus armas y destruirá uno de los edificios de Atlántida. A medida que avanzas en el juego, las naves enemigas irán aumentando su velocidad. El juego termina cuando todos los edificios restantes de la ciudad han sido destruidos.
Beamrider (USA, Europe)	Beamrider es un juego de acción arcade en 3-D. Controlas una nave espacial con la misión de limpiar 99 sectores del espacio de alienígenas hostiles. La nave espacial está situada en la parte inferior de la pantalla y sólo puede detenerse en uno de los cinco haces de luz. Estás armado con láseres y torpedos; Los torpedos son más poderosos y pueden destruir más enemigos en comparación con los láseres, sin embargo, solo obtienes tres por nivel. Para completar un sector, debes destruir quince platillos voladores blancos y después el centinela del sector. Cada sector de número par hasta el sector 16 agregará un nuevo tipo de enemigo al que enfrentarse. Estos enemigos adicionales solo intentarán ralentizar tu misión, porque solo es necesario destruir los platillos volantes para avanzar. Ocasionalmente aparecerá un power-up para ganar una vida extra, pero si le disparas accidentalmente se convertirá en un enemigo mas.
Beauty & the Beast (USA, Europe)	En “Beauty and the Beast” encarnas a Colin, un joven que debe desafiar los proyectiles del siniestro Mathias para rescatar a su prometida. Trepa por las ventanas abiertas del edificio, evitando los murciélagos, ratas y cuervos que acechan el antiguo edificio. Afortunadamente, la frágil Adèle le ayuda arrojándole corazones que le aportan una energía extra. Con gráficos agradables y bastante detallados, esta adaptación de “Donkey Kong” es original y divertida.
Body Slam! - Super Pro Wrestling (USA)	En Body Slam: Super Pro Wrestling, el objetivo es derrotar a tu oponente en el ring. Debes usar fuerza, estrategia y un toque de astucia. Cada combate consiste en una serie de rounds de cuatro minutos. No hay un número limitado de rounds, por lo que el combate continúa hasta que un jugador gane o se declare un empate. El primer luchador que logre mantener a su oponente en el suelo durante 3 segundos será el ganador. Controlas a un luchador seleccionado entre 12 personajes diferentes. Tu oponente puede ser controlado por otro jugador o por la computadora. Si eliges un combate de equipo, tú y tu oponente controlarán a 2 luchadores que se turnarán en el ring.
Bump 'n' Jump (USA, Europe)	Bump 'N' Jump es un juego de carreras y acción que se juega desde una vista superior. Mientras corres por las peligrosas y siempre cambiantes carreteras, numerosos autos enemigos intentarán sacarte de la ruta. Debes asegurarte de chocar a los autos y apartarlos del camino antes de que te choquen y te estrelles contra los costados. Tu auto también tiene la capacidad de saltar muy alto si tienes suficiente velocidad. Esto es útil para saltar sobre los autos enemigos si hay demasiados en el camino, y también se debe utilizar para saltar huecos en la carretera y otros obstáculos en la autopista. A medida que los niveles avanzan, la carretera se estrecha con más obstáculos en el camino y los otros autos aumentan en número y agresividad.
BurgerTime (USA, Europe)	Nuestro protagonista es Chef Pepper y su objetivo es hacer hamburguesas mientras huevos, salchichas y pepinillos malvados le persiguen por el área de juego. Para hacer una hamburguesa debes reunir todos los ingredientes y dejarlos caer desde arriba hasta el área de la hamburguesa que se encuentra abajo. Chef Pepper debe pasar por todos los ingredientes de la hamburguesa. Tan pronto como pise un ingrediente (un trozo de lechuga, por ejemplo), caerá al siguiente nivel. La comida que caiga aplastará a cualquier enemigo que te siga y también golpeará cualquier otro ingrediente que se encuentre debajo. Como defensa puedes recolectar pimenteros que te permitirán expulsar una pequeña nube de pimienta que aturdirá momentáneamente a los enemigos, permitiéndote pasar junto a ellos sin recibir daño. Conforme avances de nivel los enemigos serán más rápidos y habrá más ingredientes para montar tu hamburguesa.
Championship Tennis (USA, Europe)	Se puede jugar solo, contra la computadora o con otro jugador, ya sea en individuales o en dobles. Incluso se puede jugar COM VS COM y sólo mirar.Conquiste París, Nueva York y Wimbledon.necesitaras gran concentración y piernas fuertes para ganar en el Campeonato de Tenis. juega en Flushing Meadows, Roland Garros o Wimbledon. A ver si tienes lo que se necesita para ganar el &quot;Grand Slam&quot;!.
Chip Shot - Super Pro Golf (USA)	Welcome to the 17th hole at Pebble Beach! In this golf game, you'll experience the thrill and challenges of playing on 99 different holes, each with its own unique obstacles such as trees, sand traps, and water hazards. Before teeing off, you'll need to select your club and consider the direction of the wind. Will you be able to navigate around that tree? Address the ball, bring back the club, and swing with a resounding THWACK! But oh no, your shot has landed in the rough. It's a difficult lie, but fear not. Pull out your trusty wedge, take a swing, and chip the ball onto the green. Now it's time for the all-important putt. Pay close attention to the flag as it will help you gauge the direction and speed of the wind. Take into account the break of the green as you line up your putt. Sink it in for a satisfying par!
Deep Pockets - Super Pro Pool & Billiards (USA) (Proto)	Puede aprender muchos juegos de billar de bolsillo y de carambola en la privacidad y comodidad de su propio hogar, y repasar las reglas y la estrategia antes de aventurarse.
Defender (USA)	Landers, Bombers, Baiters, Pods y Swarmers. El ataque alienígena ha llegado y la derrota a manos de invasores desquiciados amenaza a los humanoides. Su única esperanza es la nave espacial, Defender. Armado con bombas inteligentes y capaz de entrar en el hiperespacio, Defender iguala la balanza, pero se convierte en el objetivo de otro vil ataque: ¡los humanoides secuestrados transformados en mutantes asesinos!
Demon Attack (USA, Europe)	Oleadas de demonios rodean la superficie lunar y bombardean el último puesto avanzado de la Tierra, la estación lunar Tranquility. Usa tu cañón láser para destruirlos; de lo contrario, devastarán la tierra. Resiste su ataque con bombas, dispara contra sus filas y aplasta su ataque. ¡Entonces pasa a la ofensiva! Despega de la superficie lunar y lucha contra la base del demonio alienígena. Elimina el escudo parpadeante. Defiéndete de las patrullas suicidas que corren hacia ti. Coloca un tiro directamente a través de la ventana giratoria hacia el núcleo de la base enemiga y consigue la victoria.
Dig Dug (USA)	En Dig Dug, libra una guerra subterránea con tu fiel arpón. Tendrás que derrotar al duro Pooka y al feroz Fygar para avanzar al siguiente nivel. Haz explotar a tus enemigos para que revienten o lánzales rocas. Conseguirás puntos por deshacerte de ellos o por recoger objetos de bonificación. Este juego clásico es a la vez un juego de acción arcade de la vieja escuela y un juego de estrategia. ¡Atrae a tus enemigos hacia donde quieras que estén y aplástalos con las rocas!
Donkey Kong (USA, Europe)	En Donkey Kong, Mario debe rescatar a una damisela en apuros, Lady, de un gigantesco simio llamado Donkey Kong. El héroe y el simio se convirtieron más tarde en dos de los personajes más populares de Nintendo. El juego se divide en cuatro etapas diferentes de una sola pantalla. Cada una representa 25 metros de la estructura que Donkey Kong ha escalado, siendo cada etapa 25 metros más alta que la anterior. La pantalla final ocurre a los 100 metros.
