#key	synopsis
4 in 1 Row (Europe)	Deux joueurs (Pussycat et Hounddog) se relayent pour déposer des disques colorés (rouges ou verts) dans une grille de six rangs à huit colonnes. L'objectif est de placer 4 disques dans une rangée, soit verticalement, horizontalement ou en diagonale.
Alien Invaders - Plus (USA, Europe)	Il s'agit d'une variante de Space Invaders avec une torsion. Huit robots avec des canons laser et protégés par un mur de boucliers avancent dans le secteur du joueur, et avec son canon laser il doit les détruire. La paroi du bouclier est indestructible, mais les robots et les canons ne le sont pas. Ils vont d'un côté à l'autre de l'écran dans un mouvement aléatoire en tirant vers le bas. Trois boucliers de laser à haute densité moléculaire sont positionnés pour défendre le canon laser. Chacun d'eux abrite un canon supplémentaire. Au lieu de soucoupes volantes de passage comme dans Space Invaders, le joueur doit faire face à l'impitoyable Monstroth, qui tire contre lui. Le joueur contrôle un robot à l'intérieur du canon laser. Si le canon laser est détruit, le robot sera laissé sans protection. Le robot peut entrer dans un nouveau canon laser logé dans l'un des boucliers. Une fois que le nouveau canon laser est actif, le bouclier disparait. Une fois que les trois boucliers sont détruits, Monstroth descendra pour chasser le canon et le robot du joueur. Le joueur gagne la partie en détruisant tous les robots et canons ennemis sur l'écran. Une bataille est perdue lorsque le robot du joueur est détruit. Le premier côté à gagner dix batailles gagne la guerre.
Alpine Skiing (USA, Europe)	Un ou deux joueurs peuvent choisir parmi trois types de compétitions de ski: Slalom, Slalom géant et Down Hill. Dans l'épreuve de slalom, les joueurs doivent skier à travers 55 portes. Le gagnant est le joueur le plus rapide à terminer deux descentes. Si un joueur rate une porte, le chronométrage s'arrête et le compteur enregistre le nombre de violations. Le gagnant est alors le joueur ayant le moins de violations. L'épreuve de slalom géant suit les mêmes règles que le slalom, mais est plus longue que le slalom, avec des portes plus éloignées. Dans l'épreuve de Down Hill, le gagnant est le joueur à atteindre la fin du parcours marqué dans le plus court laps de temps. Si le joueur quitte le terrain, les violations sont comptabilisées à la place, et le vainqueur est le joueur ayant le moins de violations. Dans tous les cas, le fait de s'écraser sur les portes fera perdre du temps aux joueurs. Le parcours de chaque joueur est affiché à la moitié de l'écran et séparément, même si leurs progrès sont affichés simultanément. Cependant, les joueurs peuvent s'écarter et envahir les parcours de l'autre. Les joueurs sélectionnent les événements en tirant sur le manche lorsque le nom de l'événement désiré est affiché à l'écran. Les skieurs sont contrôlés avec le bâton. En tenant le bâton vers le bas, le skieur descend en ligne droite. En poussant, le skieur s'arrête. Droite et gauche vont changer la direction du skieur et appuyer sur le bouton d'action accélérera le skieur à 30% de sa vitesse.
Armored Encounter + Sub Chase (USA, Europe)	La guerre est un enfer, mais cette cartouche multi-mode le rend amusant. Armored Encounter! est un clone de Atari's Tank (AKA Combat). Deux chars contrôlés par des joueurs se tirent dessus sur un large terrain de jeu. Les variations permettent différentes configurations de terrain, des mines terrestres et des missiles guidés. Dans Sub Chase! les joueurs contrôlent un avion et un sous-marin qui défilent horizontalement sur l'écran. Les joueurs marquent des points pour avoir tiré sur l'autre, mais perdent des points si un tir égaré frappe l'un des deux navires neutres au milieu de l'écran. Dans les deux jeux, le joueur qui marque le plus de points après trois minutes gagne.
Atlantis (USA, Europe)	La cité perdue d'Atlantis est attaquée! Vague après vague des vaisseaux gorgones approchent, chacun armé d'armes capables de détruire une partie de la ville. Vous êtes en charge des postes de commandement sur les bords de la ville et devez la défendre contre les envahisseurs. Les différents engins gorgones continueront de voler sur l'écran en nombre variable et selon différents modèles de vol. Au début, ils volent haut dans le ciel, mais ensuite progressivement plus bas. Si vous ne détruisez pas un ennemi avant qu'il soit trop bas, il utilisera ses armes et détruira l'un des bâtiments d'Atlantis. Au fur et à mesure que vous progressez dans le jeu, l'engin ennemi continuera d'augmenter en vitesse. Le jeu se termine lorsque tous les bâtiments de la ville ont été détruits.
Attack of the Timelord (USA)	Vous venez d'attirer l'attention de Spyrus the Deathless - Timelord of Chaos. Votre seule défense est un canon laser monté sur le bord d'attaque de votre Time Machine. Heureusement, vous avez un approvisionnement illimité en énergie laser. Vous en aurez besoin. Appuyez sur le bouton d'action de la commande gauche pour tirer votre canon laser. Utilisez le joystick du contrôle gauche pour man?uvrer votre Time Machine à la base de l'écran. Il voyagera dans la direction où vous déplacez le joystick. Au fur et à mesure des 256 niveaux de jeu, vous affronterez des vaisseaux spatiaux de plus en plus rapides et une puissance de feu de plus en plus grande. Le Timelord déploiera ses armes comme un maître d'échecs déploie ses pièces. Il y a littéralement des millions de combinaisons possibles d'armes, de timing et de placement. Votre Time Machine se désintégrera au contact de l'une des armes du Timelord. Le jeu recommencera automatiquement au niveau un.
Baseball (USA, Europe)	Le tableau de bord en bas à gauche de l'écran indique Balls, Strikes and Outs, dans cet ordre. Les joueurs en défense peuvent contrôler les joueurs de champ avec le joystick droit?
Blobbers, The (Europe)	Dans Blobbers, le joueur contrôle une unité laser mobile essayant de se défendre contre les Blobbers, des créatures redoutables, géantes et ressemblant à des amibes qui vont dévorer tout ce qu'ils rencontrent. L'unité laser mobile se déplace à la masse sur les côtés de la zone de l'écran. Les Blobbers se déplaceront également le long des mêmes côtés, et comme le pistolet laser ne peut tirer que vers l'avant, l'unité laser mobile doit être sur le côté opposé de l'écran pour frapper les Blobbers. Un Blobber naît comme une petite tache jaune inoffensive, devenant une masse plus grande et plus violette, jusqu'à une plus grande et blanche jusqu'à atteindre sa forme adulte rouge. Seulement quand il est rouge, il peut faire du mal à l'unité laser mobile, si elles sont de toute autre couleur, ils ne colleront à l'unité laser mobile que jusqu'à ce qu'elle bouge et se libère du Blobber. Au fur et à mesure que le temps passe, un Blobber adulte se multiplie, libérant une nouvelle petite tache jaune qui finira par pousser vers un autre Blobber adulte. Quand les Blobbers sont frappés, ils sont réduits à l'étape précédente de développement (du rouge au blanc, puis au violet, puis au jaune, puis décédés). Au milieu de l'écran, des blocs mobiles appelés Magic Transporteurs se déplacent de haut en bas au hasard. Ils sont appelés transporteurs magiques parce qu'ils peuvent être utilisés pour transporter l'unité laser mobile d'un côté de l'écran à l'autre, si l'unité laser mobile se déplace sur l'un d'eux alors qu'ils touchent le haut ou le bas de l'écran. Les Blobbers seront également transportés par eux. En outre, ils sont impénétrables par le pistolet laser, ce qui signifie que le joueur ne sera en mesure de frapper un Blobber lorsqu'il n'y a pas de transporteurs Magic dans le chemin du laser. Les Blobbers deviendront plus rapides toutes les 90 secondes jusqu'à atteindre la vitesse de l'unité laser mobile. Le joueur n'a qu'une vie et ne continue pas.
Blockout + Breakdown (USA, Europe)	Deux variantes de Breakout sont disponibles dans ce titre. Dans Blockout !, l'objet est de faire exploser les blocs dans les plus brefs délais. Il y a quatre lignes de blocs de couleur et chaque ligne a un démon électronique. Les démons électroniques peuvent remplacer les blocs retirés lorsqu'ils sont chargés. Ils seront facturés en touchant les deux côtés de l'écran. Après avoir placé un bloc, ils perdront la charge, et s'ils essaient de franchir un fossé non chargé, ils tomberont et réapparaîtront après un temps de pénalité. En mode deux joueurs, le deuxième joueur contrôle les démons électroniques en essayant d'empêcher le premier joueur de passer à travers la barricade. Le joueur a 90 secondes pour essayer de l'atteindre. Dans Breakdown !, l'objet est de détruire le plus de blocs que le joueur peut dans les 60 secondes. Contrairement à Blockout !, la balle (appelée Blockbuster) ne ricoche pas quand elle frappe des blocs, seulement lorsqu'elle frappe les bords de l'écran, détruisant tous les blocs qu'elle traverse sur son chemin. En mode deux joueurs, le deuxième joueur contrôle à nouveau les démos électroniques, qui se déplacent maintenant deux fois plus vite que dans Blockout !. Un compteur en haut de l'écran indique le nombre de blocs restants. Dans les deux variantes, le nombre de Blockbusters (balles) est illimité.
Bowling + Basketball (USA, Europe)	BOWLING! Une vraie simulation électronique! Vous allez directement dans les quilles ou tomber de chaque coté dans la ruelle ! Il n'y pas de retour en arriere. Notation numérique! Action sync-son! Deux à quatre joueurs. (Les couloirs changent de couleur pour vous laisser savoir quand c'est votre tour.) BASKETBALL! Pour un réalisme ultime, il y a même un champ de gravité électronique intégré! Le ballon électronique rebondit comme un vrai ballon de basket. Si vous n'obtenez pas un tir franc dans le panier, la balle frappe le cercle ou le panneau et rebondit dans le terrain! Score numérique et minuterie à l'écran. Action sync-son! Deux joueurs
