#key	synopsis
3D Atlas (USA)	3D Atlas é um título educacional que ostenta gráficos 3D em doze tipos diferentes de globos giratórios, animações de sequências de vídeo em lapso de tempo mostrando mudanças no planeta, como a destruição da camada de ozônio e muito mais. Inclui o que é descrito como &quot;um quiz desafiador&quot; chamado &quot;Around The World&quot;, que pode ser jogado por um a três jogadores. Na sua vez, cada jogador enfrenta uma rodada de cinco perguntas. Cada pergunta é cronometrada e vale uma certa quantidade de pontos ou milhas aéreas, mas esse valor diminui com o tempo. Quando uma rodada é concluída, o jogo mostra um vídeo humorístico de alguma forma de transporte, geralmente aeronaves antigas. Quando todos os jogadores completam sua rodada, o jogo mostra uma representação da Terra e o quão longe os jogadores viajaram com suas milhas aéreas acumuladas.
AI Shougi (Japan)	Deathkeep é um jogo &quot;shooter&quot; para um único jogador com um toque de jogabilidade medieval AD&D em um ambiente 3D completo. A jogabilidade consiste principalmente em aventurar e achatar cada criatura viva e não viva em seu caminho.
Alone in the Dark (USA)	Jeremy Hartwood suicidou-se na sua mansão da Louisiana, Derceto. Você assume o papel de Edward Carnby, um investigador particular, ou de Emily Hartwood, sobrinha de Jeremy, e investiga a morte suspeita. A mansão de três andares tem fama de ser assombrada por seu excêntrico ex-proprietário. Muito rapidamente, você percebe que sim. Ratos deformados, zumbis e vermes gigantes estão entre os inimigos que estão atrás de você, e você deve de alguma forma escapar. Sozinho na Escuridão é um jogo de ação e aventura de survival horror. A ação é exibida a partir de uma série de pontos de vista fixos. Os fundos são imagens pintadas em 2D, enquanto o personagem do jogador, todos os itens e monstros são renderizados como modelos 3D. Para escapar da mansão, terás de resolver vários puzzles. Eles geralmente envolvem encontrar um item e usá-lo em um lugar adequado. Além dos itens necessários para os enigmas, você também pode encontrar livros e documentos que podem ser lidos, itens de cura que podem ser consumidos para restaurar pontos de golpe e armas.
Alone in the Dark 2 (USA)	Em Alone in the Dark 2, você assume o papel do detetive Edward Carnby, um dos dois personagens principais do jogo original Alone in the Dark. Carnby é obrigado a investigar um contrabandista chamado One Eyed Jack depois que um ex-detective chamado Stryker acusou Jack de sequestrar a jovem Grace Sanders. Stryker tentou se infiltrar na mansão de Jack em Hell's Kitchen e resgatar a garota, antes de desaparecê-lo também. Carnby logo descobre que Jack e seus gângsteres são na verdade piratas do século 15 que ganharam imortalidade quando Jack se juntou a Elisabeth Jarret, uma bruxa Voodoo. No entanto, a mesma magia que os mantém imortais requer que Jack e sua equipe façam sacrifícios humanos regulares (o que explica o seqüestro de Grace). Now Carnby deve fazer seu caminho através de Hell's Kitchen e do exército gangster com metralhadoras, procurando uma maneira de quebrar o feitiço e mantê-los mortos. Alone in the Dark 2 é uma aventura de ação, semelhante ao original Alone in the Dark. Como seu antecessor, o jogo usa uma mistura de gráficos 2D e 3D. Para completar o jogo você deve resolver muitos enigmas enquanto luta contra zumbis piratas ao longo do caminho. Alguns inimigos podem ser mortos com as muitas armas à sua disposição, enquanto outros devem ser derrotados com truques e traps. Além de Edward Carnby, o jogo inclui uma seção curta (duas seções na versão CD-ROM) em que você joga como o pequeno Grace Saunders. Obviamente Grace não pode lutar, então suas fases dependem de ter reflexos rápidos e ser mais inteligente do que seus inimigos.
Armageddon (Korea)	O ano é 2157. Uma organização alienígena com tecnologia ultra-alta, 'Eed', invade a Terra. À medida que a Terra se extingue, Elka, descendente do continente perdido Atlantis, procura, com a ajuda de um computador de super potência Delta 8 988, o último herói capaz de salvar o mundo. Acontece que é Oh Haesung que vive no século XX. Marie, uma agente especial enviada de Elka, chega ao ano de 1999 com a importante missão de buscar Haesung. No entanto, Eed também descobre sobre Haesung e envia um assassino.
AutoBahn Tokio (Japan)	Autobahn Tokio é um jogo de corridas lançado apenas no Japão para o 3DO. Os jogadores podem escolher entre quatro carros sem nome com características diferentes, livremente baseados em modelos de carros reais. Três pistas estão disponíveis - uma cidade à noite, uma estrada costeira e uma pista florestal. Os jogadores correm contra um oponente de CPU, enquanto tentam atingir pontos de controle no menor tempo possível. Estão disponíveis transmissões automáticas e manuais para cada carro. Carros não podem ser sintonizados, e não há opção de dois jogadores. Apesar de ser lançado apenas no Japão, todos os menus e o texto do jogo estão em inglês.
Bakushou!! All Yoshimoto Quiz-ou Ketteisen (Japan)	Bakushou! All Yoshimoto Quiz-Ou Ketteisen é um jogo diverso, desenvolvido pela TOSE e publicado por Yoshimoto Kogyo, que foi lançado no Japão em 1995.
Battle Blues (Korea)	A estratégia/RPG baseada em turnos desenvolvida por uma equipe chamada Shin's Deko foi outra das exclusividades 3DO coreanas que a LG impulsionou, e por isso também foi um dos jogos mais raros de sua época.
Battle Chess (USA)	Xadrez de batalha é um jogo de xadrez bastante típico, mas com uma torção: todas as peças são representadas por figuras pequenas mas realistas que andam no tabuleiro, e quando uma peça encontra outra, eles participam de uma batalha totalmente animada. Há uma animação diferente para cada combinação, dependendo de quais peças estão sendo capturadas ou sendo capturadas. Também é possível jogar no modo 2D sem animations. O jogo tem uma biblioteca de 30.000 movimentos, garantindo uma variedade de jogos em seus 10 níveis de dificuldade. Há suporte para vários jogadores que pode ser expandido via modem ou conexão de porta serial. O jogo tem uma biblioteca de 30.000 movimentos, garantindo uma variedade de jogos em seus 10 níveis de dificuldade. Há suporte para vários jogadores que pode ser expandido via modem ou conexão de porta serial.
Battle Pinball (Japan)	Battle Pinball é um lançamento exclusivo japonês onde os jogadores disputam partidas de pinball competitivas contra o computador ou outro jogador. Os participantes escolhem um dos quatro personagens, cada um com sua própria mesa de pinball dedicada. O jogo então passa para uma visão de tela dividida, onde ambos os jogadores jogam em suas respectivas mesas e tentam obter uma pontuação maior que a do oponente. Outras opções incluem um modo &quot;história&quot; para 1 jogador, onde o jogador seleciona um personagem e enfrenta os outros três. Vencer aqui garante um vídeo de vitória em CG específico do personagem. Os jogadores também podem competir contra múltiplos oponentes em um modo torneio (completo com chaves de eliminação), embora um máximo de dois jogadores estejam jogando simultaneamente. Assim como em Real Pinball, o ângulo de visão é fixo e não pode ser alterado.
