#key	synopsis
2010 - The Graphic Action Game (USA)	Jeu spatial inspiré du film 2010 : l'année du premier contact, lui-même adapté du roman 2010 : l'odyssée deux, suite de 2001 l'odyssée de l'espace.Vous êtes un astronaute à bord de Discovery et vous devez réparer le système avant de vous crasher sur la lune de Jupiter.
A.E. (USA) (Proto)	Les E.A., des rayons volants mortels venus d'un autre monde. Ils chassent en &quot;meutes&quot; rapides et leur piqûre est mortelle. Vous devez les faire sauter avec votre pistolet à double action avant qu'ils ne vous tuent. Continuez à avancer et ne vous laissez pas distraire par les manœuvres serpentines d'A.E.... - Ou vous pourriez ne pas vivre pour raconter l'histoire. !
Activision Decathlon, The (USA)	Une série de jeux olympiques. Jusqu'à quatre joueurs peuvent participer dans les dix événements différents d'un décathlon, dans l'ordre ou individuellement. Sont inclus le 100 mètres, le saut en longueur, le tir, le saut en hauteur, la course de 400 mètres, le 110 mètres haies, le lancer de disque, le saut à la perche, le lancer de javelot et la course de 1500 mètres.
Alcazar - The Forgotten Fortress (USA)	Dans ce jeu d'aventure vous contrôlez un explorateur qui est sur le chemin de la forteresse Alcazar. Pour atteindre Alcazar vous voyagez à travers une campagne remplie de forteresses et vous devez collecter plusieurs objets le long du chemin. Une fois que vous entrez dans la forteresse Alcazar, vous devez chercher la couronne.
Alphabet Zoo (USA)	Alphabet Zoo est un jeu en vue de dessus d'enseignement où les races jouables à travers un labyrinthe. Il appartient au joueur de rassembler les lettres éparpillés. Le labyrinthe contient également deux téléporteurs qui déforment le joueur qui les utilise à un endroit aléatoire. Chaque labyrinthe est une représentation graphique d'un objet dans le milieu. Il existe deux modes: Jeu 1, où le joueur doit à plusieurs reprises recueillir première lettre du nom de l'objet autant de fois que possible dans le délai, et le match 2, où toutes les lettres souvent il le nom doit être recueilli dans le bon ordre. Le jeu peut être joué dans un mode solo ou à deux joueurs en compétition. Le jeu permet de démarrer à partir de n'importe quel niveau et choisir les lettres majuscules seulement, en lettres minuscules seulement, ou un mélange des deux.
Amazing Bumpman (USA)	Vous aidez Amazing Bumpman à se déplacer sur la grille en déplaçant les numéros blancs aux bons endroits au centre de la grille. Le jeu n'a jamais été livré avec la boîte officielle ni aucune boîte d'ailleurs. Il n'était livré qu'avec la cartouche et le manuel papier.
Antarctic Adventure (USA, Europe)	Antarctic Adventure est un super jeu car il est d’une simplicité enfantine et que l’on s’amuse tout de suite. Le but est d’aider un petit pingouin à rejoindre les différentes bases polaires, pour ceci vous devez le guide et lui faire éviter les embûches qui ce trouvent sur la banquise. Pour les graphismes ont l’a doit à du 8 bits dans toute ça splendeur, c’est beau et bien colore. La prise en main est facile, le pingouin ce laisse bien guider.
Aquattack (USA)	l'Agent Capitaine Blitztek doit trouver un moyen de traverser le territoire ennemi pour empêcher les Axtoatles de prendre le contrôle du monde.
Artillery Duel (USA)	Deux joueurs s'y affrontent, chacun d'eux contrôlant une arme d'un côté de l'écran (un joueur à droite et l'autre à gauche). Chacun à leur tour, les joueurs peuvent tirer un projectile par-dessus les montages qui les séparent en essayant de toucher l'arme adverse. Lorsqu'ils visent, ils doivent prendre en compte plusieurs facteurs comme l'angle de tir, la quantité de poudre utilisée pour charger leur arme et la force et la direction du vent. Les positions des arbres, des montages et des armes des joueurs sont générés aléatoirement pour chaque niveau. Le jeu pose les bases d'un nouveau sous-genre des jeux de stratégie au tour par tour, le jeu d'artillerie, qui sera plus tard popularisé par la série Worms.
BC's Quest for Tires (USA)	Le joueur contrôle un homme des cavernes, Thor, dont l'objectif est de sauvé sa petite amie enlevée par un dinosaure. Pour cela, il doit traverser plusieurs niveaux à l'aide d'un monocycle en pierre. Il se déplace de gauche à droite et doit éviter divers danger comme des nids-de-poule ou des branches.
BC's Quest for Tires II - Grog's Revenge (USA)	Thor a terminé sa quête de pneus. Maintenant, il doit découvrir le sens de la vie. Mais ce ne sera pas facile. Le sens de la vie est caché; quelque part dans un long dédale de montagnes. Chaque montagne est couverte de palourdes et Thor doit rassembler 100 palourdes afin de payer les péages et d'avancer à travers chaque montagne. Le seul chemin vers Peter et le pont à péage est à travers les &quot;vraies grottes effrayantes&quot;. Il y a beaucoup de palourdes dans les grottes mais attention aux stalagmites. Gardez le phare de Thor balayant d'avant en arrière pour un maximum de palourdes. Hors de la grotte, faites attention à Grog, qui sauve les palourdes de Thor. Thor a également affronté des roches, des nids de poule et des ptérodactyles (ils mangeront sa roue) dans sa quête de palourdes et du sens de la vie.
Beamrider (USA)	Beamrider est un jeu d'arcade 3D. Vous contrôlez un vaisseau spatial en mission pour dégager 99 secteurs de l'espace d'aliens hostiles. Le vaisseau spatial est situé au bas de l'écran et il ne peut s'arrêter que sur l'un des cinq faisceaux. Vous êtes armés à la fois de lasers et de torpilles. les torpilles sont plus puissants et peuvent détruire plus d'ennemis par rapport aux lasers, mais vous obtenez seulement trois par niveau. Pour compléter un secteur, vous devez détruire quinze soucoupes volantes blanches. Après que toutes les soucoupes ont été détruites, la sentinelle du secteur passe et peu être détruite pour des points supplémentaires.
Blockade Runner (USA)	Vous devez guider une flotte de quatre cargos marchandises marchands sur Terre avec des fournitures vitales. Les aliens vous ont aperçu et vous ont forcé à entrer dans une dangereuse ceinture d'astéroïdes. Et maintenant, vous devez essayer d'éviter ces astéroïdes, de détruire les mines Robot ,les vaisseaux spatiaux aliens et aussi lutter contre la pénurie de carburant et empêcher les boucliers déflecteurs de surchauffer.
Boulder Dash (USA)	Grand classique. Vous devez ramasser un certain nombre de diamants pour trouver la sortie tout en évitant de vous faire écraser par des roches à proximité. La difficulté est progressive avec des ennemis qui apparaissent sur votre route au fil des niveaux.
Brain Strainers (USA)	Le premier jeu est &quot;Follow The Leader&quot; où un motif est répété en utilisant un cercle de 4 couleurs. En mémorisant les sons ou les couleurs clignotantes, le joueur peut répéter la séquence pour continuer.Le deuxième jeu est &quot;Clef Climber&quot; où le joueur entends un son qui correspond à une certaine note musicale et qui doit correspondre à la note qu'il joue.
Buck Rogers - Planet of Zoom (USA, Europe)	Basé sur les bandes dessinées de Buck Rogers, Buck Rogers: Planet of Zoom est un jeu rapide qui se déroule sur un circuit futuriste. Guidez votre vaisseau spatial entre les pylônes et abattez les autres joueurs ennemis.
Bump 'n' Jump (USA, Europe)	Bump 'n' Jump est un jeu de course qui peut se jouer à un ou deux joueurs. En mode duo, les joueurs jouent à tour de rôle. À chaque piste, les décors changent suivant cinq thèmes soit les quatre saisons de l'année et un thème sans nom puis reprend à la première saison mais avec un niveau de difficulté supérieur. Le jeu se déroule avec vue à vol d'oiseau sur des circuits linéaires sans virages. Par contre, le joueur doit éviter certains obstacles comme des étendues d'eau qui obstruent la piste en partie ou en totalité. Dans ce dernier cas, la meilleure solution pour éviter l'accident, c'est le saut en hauteur. En effet, la voiture est dotée d'une caractéristique originale soit de pouvoir sauter sur une distance relative à sa vitesse qui peut varier de 0 à 220 km/h. À noter qu'en deçà des 100 km/h, le véhicule ne peut exécuter de saut. Le joueur doit aussi éviter les autres voitures sur la piste. Comme le laisse sous-entendre le titre, les autres véhicules peuvent vous heurter et ainsi vous pousser sur les barrières qui délimitent les côtés de la piste.
BurgerTime (USA, Europe)	Le joueur incarne un chef de cuisine et doit confectionner des hamburgers tout en évitant les autres personnages représentés par de la nourriture qui le poursuivent, à savoir des oeufs, des saucisses et des poivrons qu'il peut temporairement immobiliser en leur jetant du poivre (trois tirs possibles au maximum).
Cabbage Patch Kids - Adventures in the Park (USA, Europe)	Le joueur est un &quot;Cabbage Patch kid&quot; avec des couettes qui passe une journée au parc. Une journée qui comprend sauter sur les vignes, au dessus des trous et sur les plates-formes. Un saut loupé fait perdre une vie et il y a aussi quelques créatures hostiles telles que des abeilles qui mettent fin au tour du joueur lorsqu'il est touché.
Cabbage Patch Kids - Picture Show (USA)	Le gameplay est identique à celui de Smurf Paint Play Workshop, dans lequel le joueur peut dessiner et créer ses propres scènes, ou choisir parmi l'une des quatre scènes de fond et commencer à ajouter des objets clip-art, des meubles et du dessin libre.
Campaign '84 (USA)	Le joueur fait campagne sur le continent américain pour devenir le président des États-Unis. Il dispose d'un laps de temps limité pour jouer.Des événements aléatoires qui peuvent surgir. Le joueur doit se concentrer sur de nombreuses questions comiques comme la réduction du chômage de Pet Rock ou le contrôle des pistolets à eau.
Carnival (USA, Europe)	Vous êtes à la fête foraine et vous allez tenter votre chance au stand de tir ! Votre objectif est de gagner le plus de points possible en tirant sur les différentes cibles avant d'être à court de balles. En plus des différentes cibles flottantes, il y a des boîtes sur lesquelles vous pouvez tirer pour gagner des balles supplémentaires. Il faut également faire attention aux canards ! De temps en temps, un canard descendra et mangera certaines de vos balles si vous ne lui tirez pas dessus en premier. Vous passez à la partie suivante lorsque le râtelier est vidé de toutes les cibles et la partie se termine lorsque vous avez utilisé toutes vos balles.
Centipede (USA)	In Centipede, the player is trapped in the Enchanted Forest. Armed with only a magic wand to ward off the forest's insect denizens, all of which apparently are attacking in the player in continuous waves. The player must use the magic wand to shoot sparks at approaching insects to score points by pressing the controller button. Holding down the controller button will set the wand to rapid fire shots. If the player is bitten by an insect, the player will be temporarily paralyzed and lose one of the three starting magic wands.
Choplifter! (USA)	Choplifter utilise la vue de côté et le scrolling horizontal. Le joueur pilote un hélicoptère et doit parcourir des niveaux pour sauver des otages regroupés dans des bâtiments en zone de combat. Il faut faire face aux tanks, aux avions et à l'artillerie antiaérienne.
Chuck Norris - Superkicks (USA)	Dans ce jeu d'action vous jouez le rôle de Chuck Norris qui quête pour atteindre un monastère où un leader important est gardé en otage. Le jeu se compose de plusieurs niveaux différents: au début et entre les combats, vous verrez une vue du chemin qui mène au monastère. En marchant le long du chemin, vous rencontrerez de nombreux ennemis.Lorsque vous combattez, la vue se rapproche. En appuyant sur le bouton et en déplaçant le joystick dans l'une des quatre directions, vous pouvez effectuer différents coups de pied, coups de poing et blocages.
Congo Bongo (USA)	Petit jeu de plate-forme où vous incarnez un aventurier qui doit éviter noix de coco, singes, crocodiles et avancer dans les niveaux. Durée de vie du jeu très courte compte-tenu d'un nombre faible de tableaux.
Cosmic Avenger (USA, Europe)	Vous êtes le pilote d'un vaisseau spatial sur une mission dangereuse au-dessus d'une planète étrangère hostile. Votre objectif est de gagner autant de points que possible en utilisant vos missiles et bombes pour détruire les différents ennemis que vous rencontrerez. Les extraterrestres sont armés de missiles, de canons à barrage, de torpilles, de mines, de chars et plus encore. Vous devez détruire autant que vous pouvez avant qu'ils ne vous détruisent!
Cosmic Crisis (Europe)	Les démons nous envahissent et doivent être repoussé si l'humanité veux survivre. Lutter contre eux est futile. La seule façon de les vaincre est de les piéger et de les laisser mourir. Vous avez la capacité de piéger ces démons et les laisser tomber à travers le sol.
Dam Busters, The (USA)	Dam Busters se passe pendant la Seconde Guerre mondiale. Il se concentre sur les &quot;Dam Busters&quot; qui ont été utilisés pour bombarder les objectifs stratégiques.La tâche n'est pas facile, car en cours de route, vous ferez face à diverses forces d'opposition. Heureusement, votre avion est équipé de mitrailleuses (à gauche et à droite) avec des munitions illimitées.
Dance Fantasy (USA)	Il y a huit pas de danse à choisir et des combinaisons infinies. Vous décidez de la durée de votre danse, où les danseurs se déplacent, et comment ils dansent ensemble.
Defender (USA)	Le joueur déplace librement un vaisseau en vue de profil à la surface d'un planète et le but du jeu est de détruire l'ensemble des ennemis et de sauver des humains capturés par des aliens. Le gameplay exige beaucoup de précision, car les vaisseaux ennemis sont petits, à l'instar du tir laser du vaisseau du joueur.
Destructor (USA, Europe)	Votre vaisseau atterrit dans la ville hostile d'Araknid pour collecter des cristaux précieux dont la terre a désespérément besoin. Votre équipement: le puissant Ram-car. Utilisez votre Ram-car pour touchers les Krystaloids, les transformant en cristaux précieux! Mais attention aux Destructeurs et Insektoids mortels qui protègent les Krystaloïdes!
