#key	synopsis
3D Atlas (USA)	3D Atlas est un titre éducatif qui présente des graphiques 3D sur douze types différents de globes en rotation, des séquences vidéo animées en accéléré montrant les changements survenus sur la planète tels que la destruction de la couche d'ozone et bien plus encore. Il comprend ce qui est décrit comme « un quiz stimulant ». appelé « Autour du monde » qui peut être joué par un à trois joueurs. À leur tour, chaque joueur est confronté à une série de cinq questions. Chaque question est chronométrée et vaut un certain nombre de points ou de miles aériens, mais cette valeur diminue avec le temps. Lorsqu'un tour est terminé, le jeu montre une vidéo humoristique d'une forme de transport, généralement des premiers avions.
Agi Gongnyong Goldie (Korea)	Agi Gongnyong Goldie est un jeu éducatif sud-coréen qui combine aventure, contenu pédagogique et animation adaptée aux enfants. Le personnage principal est Goldie, un petit dinosaure curieux qui voyage à travers un monde coloré rempli d'énigmes, d'activités musicales et de mini-jeux basés sur les réactions. L'objectif est d'enseigner de manière ludique des concepts tels que les couleurs, les chiffres et la pensée logique, présentés à travers de courtes histoires et des scènes interactives. Les commandes sont simples, ce qui permet aux jeunes joueurs de naviguer facilement dans les environnements dessinés à la main. Comme beaucoup de productions 3DO, le jeu propose de nombreux doublages, une musique charmante et des cinématiques FMV colorées. Aujourd'hui, il est considéré comme un exemple rare de logiciel 3DO coréen et comme une aventure éducative bien conçue, qui allie une approche pédagogique à une esthétique distincte des années 1990.
AI Shougi (Japan)	Le shogi( littéralement « jeu des généraux ») est un jeu de société combinatoire abstrait traditionnel japonais, se rapprochant du jeu d'échecs, et opposant deux joueurs. Ce jeu est célébré le 17 novembre au Japon, où il est extrêmement populaire.
Alone in the Dark (USA)	Alone in the Dark sur 3DO est un survival-horror qui vous propose d'évoluer dans le mystérieux manoir de Derceto, peuplé de créatures démoniaques. Vous incarnez au choix le détective Edward Carnby ou Emily Hartwood, nièce du propriétaire, pour percer les mystères de cette inquiétante demeure.
Alone in the Dark 2 (USA)	Dans Alone in the Dark 2, vous incarnez le détective Edward Carnby. Carnby doit maintenant enquêter sur un trafiquant d'alcool nommé One Eyed Jack qui aurait kidnappé la jeune Grace Saunders. Son partenaire Ted Stryker tente d'infiltrer le manoir délabré de Jack à Hell's Kitchen et de sauver la jeune fille, et disparaît. Carnby apprend bientôt que Jack et ses gangsters sont en réalité des pirates du XVe siècle qui ont acquis l'immortalité après que Jack se soit allié à Elizabeth Jarret, une sorcière vaudou. Cependant, la magie noire qui leur permet de rester immortels oblige Jack et son équipage à procéder régulièrement à des sacrifices humains. Carnby doit maintenant se frayer un chemin à travers Hell's Kitchen pour trouver un moyen de briser le sort. Les graphismes du jeu sont hybrides 2D-3D. Vous devez résoudre de nombreuses énigmes tout en combattant des pirates zombies avec vos armes ou par la ruse.
Anno Mitsumasa Pepperon-mura no Shiki (Japan)	Peperon Mura no Shiki alias Valmaison au fil des saisons est un jeu divers, publié par NHK, sorti au Japon en 1995. Le jeu est fait d'images animées au graphisme naïf et précis conçu par le dessinateur japonais Mitsumasa Anno, ancien instituteur. Valmaison est un petit village idéal, quelque part en Europe, que l'on explore de diverses manières: le labyrinthe qui apparaît sur l'écran initial lui offre quatre chemins. L'enfant peut observer le village à une saison précise, pénétrer à l'intérieur des bâtiments, façonner son propre village à partir d'une base de dessins ou mettre en action le rythme des saisons et des événements qui jalonnent le calendrier de Valmaison: fêtes, jeux, semailles, tempêtes, etc.
Another World (Europe)	Une nuit d'orage, Lester Chaykin, jeune chercheur en physique des particules, se rend à son laboratoire souterrain. Alors qu'il lance une expérience sur un accélérateur de particules, la foudre s'abat sur le laboratoire et détraque l'appareillage. Le chercheur est projeté dans un autre monde. Réapparaissant sur une terre étrangère à la faune hostile dont il arrive à s'extirper, il finit par tomber dans les geôles d'une espèce humanoïde intelligente. Dans cette sorte de camp de travail, il fait la rencontre d'un compagnon, avec l'aide duquel il s'échappera.
Aqua World - Umi Monogatari (Japan)	Aqua world umibi monogatari est un jeu qui permet au joueur de découvrir et d apprendre sur le monde marin
Armageddon (Korea)	Armageddon est un jeu d'action créé pour être lié au film d'animation de 1996 du même nom. Vous pouvez basculer entre les points de vue à la première et à la troisième personne tout en pilotant un vaisseau spatial dans le but de repousser les envahisseurs. Le vaisseau avance automatiquement et doit éviter les obstacles en plus de détruire les ennemis dans l'espace. Dans le mode à la première personne, vous devez déplacer le vaisseau pour aligner le réticule et tirer sur des objets qui arrivent droit sur vous tels que des astéroïdes ou des ennemis. En vue à la troisième personne, vous avez un peu plus de contrôle car vous pouvez déplacer le réticule. Des power-ups apparaîtront occasionnellement, vous donnant de nombreuses capacités comme des bombes électromagnétiques.
AutoBahn Tokio (Japan)	Choisissez votre bolide préféré et lancez-vous sur 3 circuits différents mais centrés sur les autoroutes de la capitale nippone. Un mode championnat est présent ainsi qu'un mode Time Attack qui vous permet de battre vos meilleurs temps.
