#key	synopsis
ABPA Backgammon (World)	Le Backgammon d'Intellivision est identique au jeu de société. Le Backgammon est un jeu joué par deux joueurs (l'ordinateur peut être l'un des joueurs). Chaque joueur dispose de 15 pions. Le but du jeu est d'être le premier à déplacer tous ses pions et à les faire sortir du plateau. Le déplacement de vos pièces hors du plateau est appelé &quot;sortie&quot;. Le premier joueur à faire sortir toutes ses pièces est le gagnant. Chaque joueur se déplace dans une direction qui part de la table d'origine de son adversaire pour arriver à sa propre table d'origine. Ainsi, un joueur se déplace toujours dans le sens des aiguilles d'une montre et l'autre dans le sens inverse. dans le sens inverse des aiguilles d'une montre. Vous pouvez jouer contre l'ordinateur à deux niveaux de compétence - un pour les débutants ou les intermédiaires, un autre pour les experts - ou deux joueurs peuvent s'affronter. Il affiche le logo de l'American Backgammon Players Association (ABPA).
Advanced Dungeons & Dragons (USA, Europe)	Advanced Dungeons and Dragons est un jeu d'action/aventure ou le héros doit partir en quête d'une couronne dont les deux parties la composant sont détenues par des minotaures au sommet d'une montagne. Avant d'en arriver là il faudra traverser une carte générée aléatoirement à chaque partie. La couleur de la montagne finale définissait le niveau de difficulté de la carte: les montagnes blanches étaient considérées comme faciles, les bleues de difficulté moyenne, les rouges difficiles et les montagnes pourpres... diaboliques!
Advanced Dungeons & Dragons - Treasure of Tarmin (USA, Europe)	Advanced Dungeons and Dragons est un jeu d'action/aventure ou le héros doit partir en quête d'une couronne dont les deux parties la composant sont détenues par des minotaures au sommet d'une montagne. Avant d'en arriver là il faudra traverser une carte générée aléatoirement à chaque partie. La couleur de la montagne finale définissait le niveau de difficulté de la carte: les montagnes blanches étaient considérées comme faciles, les bleues de difficulté moyenne, les rouges difficiles et les montagnes pourpres... diaboliques!
Air Strike (USA) (Proto)	Vous pilotez un biplan au-dessus du territoire ennemi. Lâchez des bombes sur les usines et les dépôts de munitions. Défiez les avions ennemis dans des combats aériens à mort!
Armor Battle (USA, Europe) (Fast Tanks)	C'est un conflit de blindés et vous êtes aux avant-postes! Des missions de combat à profusion dans cette bataille de chars informatisée! Manoeuvrez deux chars à travers des centaines de terrains différents! Les batailles sont menées sous un déluge d'effets sonores pour ajouter au réalisme! - Une partie à deux joueurs ... vous et votre adversaire dirigez chacun deux chars par bataille. - Vous appliquez vos choix tactiques sur des centaines de cartes de champ de bataille différentes. - Évaluez le champ de bataille, décelez les mines et déplacez-vous rapidement sur les routes ou lentement à travers les champs ou l'eau. - Détruisez les deux chars de votre adversaire et gagnez la bataille! - Multitudes d'effets sonores et visuels tels que des explosions, des feux de tir, le bruit des moteurs et plus encore!
Astrosmash (USA, Europe)	Vous êtes aux commandes d'une batterie de canons laser. Vous avez des munitions illimités et beaucoup de cibles à abattre! Vous pouvez atteindre de gros scores en stoppant un flot incessant de météorites, de bombes, de missiles guidés et en détruisant les OVNIS. C'est rapide, excitant et bourré d'action chaque seconde! Si vous êtes suffisamment bon, votre score pourra atteindre des millions et plus vous marquez de points, plus vite ils arrivent!
Atlantis (USA, Europe)	La cité perdue d'Atlantis est attaquée ! Des vagues successives de vaisseaux Gorgon s'approchent, chacun étant armé d'armes capables de détruire une partie de la ville. Vous êtes en charge des postes de commandement situés aux abords de la cité et devez la défendre contre les envahisseurs. Les différents vaisseaux gorgones défilent à l'écran en nombre variable et selon des schémas de vol différents. Au début, ils volent haut dans le ciel, puis progressivement plus bas. Si un ennemi arrive à descendre suffisamment bas avant que vous ne le détruisiez, il utilisera ses armes et détruira l'un des bâtiments de l'Atlantide. Au fur et à mesure que vous progressez dans le jeu, la vitesse des vaisseaux ennemis augmente. Le jeu se termine lorsque tous les bâtiments restants de la ville ont été détruits.
Auto Racing (World) (Car-Relative Steering)	Toute l' action d'un Grand Prix vous attend à chaque tournant. Choisissez parmi 5 circuits différents, 5 voitures différentes. Ensuite, prenez le volant. Roulez à toute vitesse, coupez les virages, attaquez dans les courbes en épingle à cheveux. Vous êtes le pilote. La course est lancée!
B-17 Bomber (USA, Europe)	B-17 Bomber se déroule vers la fin de la Seconde Guerre mondiale. En tant que pilote d'un B-17, votre mission consiste à traverser la Manche et à bombarder diverses cibles stratégiques. Vous devez d'abord choisir une destination qui comporte de nombreuses cibles. Plus la cible est éloignée de votre base, plus vous pouvez gagner de points, mais avec plus de terrain à couvrir, il y aura plus de chasseurs ennemis bloquant la cible et plus de carburant sera nécessaire. Une fois la destination fixée, vous devez approvisionner votre avion en bombes et en carburant, puis décoller ! Vous avez maintenant un point de vue à la première personne depuis l'avion et vous pouvez contrôler laquelle de plusieurs vues est active. Lorsque vous essayez de bombarder des cibles, vous regardez directement vers le bas depuis les portes de bombardement. Lorsque vous entendez une voix annoncer l'arrivée d'avions ennemis, vous devez basculer la vue sur l'un des canons et vous défendre. Enfin, vous pouvez avoir une vue du cockpit pour contrôler l'avion. Si votre carburant vient à manquer, ou si votre avion subit trop de dégâts, vous pouvez retourner à votre base d'origine pour vous faire réparer, puis redécoller pour bombarder autant de cibles que possible !
Beamrider (USA, Europe)	BeamRider et un jeu de shoot sur Intellivision. Vous contrôlez un vaisseau devant franchir 99 niveaux composés d'aliens hostiles voulant bloquer notre programme spatial. Pour cela, le vaisseau dispose d'un tir laser et de torpilles.
Beauty & the Beast (USA, Europe)	Dans &quot;Beauty and the beast&quot; vous incarnez Colin, un jeune homme qui doit braver les projectiles du sinistre Mathias pour délivrer sa fiancée. Il grimpe par les fenêtres ouvertes de l'immeuble, évite les chauve souris, les rats et les corbeaux qui hantent le vieux building. Heureusement, la frêle Adèle l'aide en lui lançant des coeurs qui lui redonnent une énergie fantastique. D'un graphisme agréable et assez fouillé, cette adaptation de &quot;Donkey Kong&quot; est originale et amusante.
Blockade Runner (USA)	Un jeu de tir en 3D. Vous devez guider une flotte de quatre cargos marchands de l'espace à la Terre avec des fournitures vitales. Des aliens hostiles vous ont repérés et vous ont forcé à entrer dans une dangereuse ceinture d'astéroïdes. Et maintenant, vous devez essayer d'éviter ces astéroïdes, de détruire les mines Robot et les vaisseaux spatiaux extraterrestres et aussi faire face aux pénuries de carburant et d'empêcher les boucliers déflecteurs de surchauffer.
Body Slam! - Super Pro Wrestling (USA)	Le but de Body Slam : Super Pro Wrestling est de battre votre adversaire sur le ring. Vous devez utiliser la force, la stratégie et un soupçon de sournoiserie. Chaque match consiste en une série de rounds de quatre minutes. Le nombre de rounds étant illimité, le match continue jusqu'à ce qu'un joueur gagne ou qu'un match nul soit déclaré. Le premier lutteur à clouer son adversaire au tapis pendant un temps de 3 secondes est le vainqueur. Vous contrôlez un lutteur choisi parmi 12 personnages différents. Votre adversaire est contrôlé par un autre joueur ou par l'ordinateur. Si vous choisissez un Tag-Team Match, vous et votre adversaire contrôlez chacun 2 lutteurs qui se relaient sur le ring.
