#key	synopsis
4 in 1 Row (Europe)	4 in 1 Row es un port del juego de mesa 4 en raya. Dos jugadores (Pussycat y Hounddog) se turnan para dejar caer discos de colores (rojo o verde) en una cuadrícula de ocho columnas y seis filas. El objetivo es colocar 4 discos seguidos, ya sea en vertical, horizontal o diagonal. Un número indicador estratégico en el lado derecho de la pantalla, además de cada nombre, mostrará las posibilidades de cada jugador de conseguir cuatro discos seguidos. Cuanto mayor sea el número, mayores serán las posibilidades. Si el número es 125, significa que el jugador está a solo un movimiento de ganar. El indicador estratégico se puede desactivar presionando CLEAR.
Alien Invaders - Plus (USA, Europe)	Variante de Space Invaders con un giro táctico. Ocho robots armados avanzan tras un muro defensivo indestructible y se mueven de lado a lado disparando. Cuentas con un cañón láser y tres escudos moleculares que albergan un cañón de reserva cada uno. En lugar del platillo clásico, te enfrentas al Despiadado Monstroth, que te atacará desde el cielo. Controlas a un robot piloto dentro de tu cañón; si este es destruido, el piloto quedará indefenso en el suelo. Deberás correr rápido hacia uno de los escudos para activar un cañón de repuesto, lo que consumirá esa barrera. Si agotas los tres escudos, el Monstroth bajará a cazarte directamente. Destruye a todos los robots y sus cañones para ganar la batalla. Si tu piloto muere, la perderás. El primer bando en asegurar diez victorias ganará la guerra galáctica.
Alpine Skiing (USA, Europe)	Elige entre tres competiciones de esquí para uno o dos jugadores: Eslalon, Eslalon Gigante y Descenso. Las pantallas se dividen a la mitad para mostrar el progreso simultáneo, permitiendo incluso invadir el carril del rival. Chocar contra las puertas te hará perder valiosos segundos. • Eslalon: Cruza 55 puertas en dos mangas. Si te saltas una, el cronómetro se detiene y se cuentan las faltas; gana quien tenga menos penalizaciones o mejor tiempo. • Eslalon Gigante: Sigue las mismas reglas, pero el circuito es más largo y las puertas están más distanciadas. • Descenso: Alcanza la meta en el menor tiempo posible. Si te sales de la ruta, se registrarán las infracciones y ganará el jugador con menos errores. Selecciona el modo moviendo el joystick hacia abajo cuando aparezca en pantalla. Durante la carrera, mantén la palanca hacia abajo para descender en línea recta, empuja hacia arriba para frenar, muévela a los lados para girar y pulsa el botón de acción para acelerar un 30%.
Armored Encounter + Sub Chase (USA, Europe)	Presenta un versátil paquete de simulación y combate militar en dos dimensiones que divide su experiencia de juego entre intensas refriegas terrestres y un tenso asedio naval en pantalla fija. En la modalidad blindada (Armored Encounter), los jugadores pilotan tanques a través de campos de batalla repletos de obstáculos y minas, obligando a calcular los rebotes de los proyectiles para destruir al rival mientras se busca cobertura. Por su parte, la variante marítima (Sub Chase) traslada la acción a alta mar, donde un destructor en la superficie debe patrullar las aguas lanzando cargas de profundidad para hundir a los submarinos enemigos que acechan en las profundidades. Un dinámico y competitivo desafío arcade que premia los reflejos rápidos, el sentido de la orientación y la anticipación táctica.
Atlantis (USA, Europe)	La ciudad perdida de Atlantis está siendo atacada. Se acercan oleadas tras oleadas de naves Gorgon, cada una armada con armas capaces de destruir una parte de la ciudad. Tú estás al mando de los puestos de mando en los bordes de la ciudad y tienes que defenderla de los invasores. Las diversas naves gorgonas seguirán volando por la pantalla en número variable y con distintos patrones de vuelo. Al principio vuelan alto en el cielo, pero luego descienden progresivamente. Si un enemigo baja lo suficiente antes de que lo destruyas, utilizará sus armas y destruirá uno de los edificios de Atlantis. A medida que avances en el juego, las naves enemigas irán aumentando su velocidad. El juego termina cuando todos los edificios de la ciudad han sido destruidos.
Attack of the Timelord (USA)	Acabas de llamar la atención de Spyrus el Inmortal, Señor del Tiempo del Caos. Tu única defensa es un cañón láser montado en la punta de tu Máquina del Tiempo. Por suerte, tienes energía láser ilimitada. La necesitarás. Pulsa el botón de acción del mando izquierdo para disparar el cañón láser. Usa el joystick del mando izquierdo para maniobrar tu Máquina del Tiempo en la parte inferior de la pantalla. Se desplazará en la dirección que muevas el joystick. A medida que avances por los 256 niveles del juego, te enfrentarás a naves del tiempo cada vez más rápidas y con una potencia de fuego progresivamente mayor. El Señor del Tiempo desplegará sus armas como un maestro de ajedrez despliega sus piezas. Existen literalmente millones de combinaciones posibles de armas, sincronización y posicionamiento. Tu Máquina del Tiempo se desintegrará al contacto con cualquiera de las armas del Señor del Tiempo. El juego se reiniciará automáticamente en el Nivel Uno.
Baseball (USA, Europe)	Presenta una pionera simulación de béisbol en dos dimensiones que traslada la emoción y las tácticas del terreno de juego a la pantalla fija de la consola. Dividido estrictamente entre las fases de ataque y defensa, el núcleo de la experiencia exige una sincronización temporal perfecta para batear los lanzamientos del rival y correr hacia las bases antes de ser eliminado por los jardineros. En la fase defensiva, la jugabilidad reta al usuario a alternar los efectos de la pelota desde el montículo y coordinar los movimientos de su equipo pixelado para atrapar los batazos en el aire. Un divertido desafío deportivo que premia los reflejos rápidos, la anticipación y los duelos estratégicos de picheo.
Blobbers, The (Europe)	En &quot;Blobbers&quot;, el jugador controla una unidad móvil de láser que intenta defenderse de los Blobbers, criaturas temibles y gigantes similares a amebas que devorarán todo lo que encuentren. La unidad móvil de láser se desplaza por los costados del área de la pantalla. Los Blobbers también se moverán a lo largo de los mismos costados, y como el arma láser solo puede disparar hacia adelante, la unidad móvil de láser debe estar en el lado opuesto de la pantalla para golpear a los Blobbers. Un Blobber nace como un inofensivo punto amarillo pequeño, crece hasta convertirse en una masa más grande y morada, luego en una más grande y blanca, hasta llegar a su forma adulta roja. Solo cuando está rojo puede hacer daño a la unidad móvil de láser. Si son de cualquier otro color, simplemente se pegarán a la unidad móvil de láser hasta que se mueva y se libere del Blobber. Con el tiempo, un Blobber adulto se multiplicará, liberando un nuevo punto amarillo pequeño que eventualmente crecerá hasta convertirse en otro Blobber adulto. Cuando se golpea a los Blobbers, se reducen al estado de desarrollo inmediatamente anterior (de rojo a blanco, luego a morado, luego a amarillo y finalmente fallecen).
Bowling + Basketball (USA, Europe)	¡BOLOS! ¡Una simulación electrónica real! ¡Vas directo a los bolos o al gancho desde cualquier lado de la pista! Pero una vez que te decides por el gancho, ¡estás enganchado! No hay vuelta atrás. ¡Puntuación digital! ¡Acción con sonido sincronizado! De dos a cuatro jugadores. (Las pistas cambian de color para que sepas cuándo es tu turno). ¡BALONCESTO! Para un realismo máximo, ¡incluso tiene un campo de gravedad electrónico incorporado! El balón electrónico rebota como uno real. Si no consigues un tiro limpio a la canasta, ¡el balón golpea el aro o el tablero y rebota de vuelta a la cancha! Puntuación y cronómetro digitales en pantalla. ¡Acción con sonido sincronizado! Dos jugadores.
Buraco Negro (Brazil) (En)	Las rocas deben recogerse colocándolas en la plataforma de transporte frente a la nave. Una vez acoplada la roca, el jugador debe mover la nave hacia una estrella de neutrones en el borde izquierdo de la pantalla. La estrella de neutrones ejerce una fuerza magnética que atraerá la nave hacia ella. La nave debe moverse con cuidado, ya que muestra inercia. Si la estrella de neutrones atrae la nave, esta será destruida. Cuando esté lo suficientemente cerca, la roca puede soltarse (pulsando el botón de acción) y será atraída hacia la estrella de neutrones. Las rocas también pueden destruirse con cohetes lanzados por la nave, pero estos solo están disponibles cuando la nave no transporta ninguna roca.
