#key	synopsis
3rd Degree (USA)	Dies ist 3rd Degree, die erste CD-i-Spielshow. In diesem interaktiven Spiel sind Sie der Kandidat auf dem heißen Stuhl. Treffen Sie urkomische Gastgeber und einen sehr scharfsinnigen Richter. Wählen Sie aus einer Reihe farbenfroher Charaktere und fordern Sie Ihre Freunde zu drei Runden provokanter Dilemas heraus! In 3rd Degree kommt es zu viel Lachen und der Art von lebhaften Konflikten, die jeder liebt. Schließlich ist es doch nur ein Spiel … oder?
Accelerator (Europe)	Accelerator ist ein Allzeit-Klassiker 2D-Rennspiel! Sie wählen aus einem von acht verschiedenen Fahrern und dann geht es zu den Rennen. Fahren Sie so schnell wie möglich um die Strecke, um feindlichen Kugeln auszuweichen und Geld auf dem ganzen Weg zu sammeln. Wenn Sie genug Geld sammeln und auf einem der vier besten Plätze landen, können Sie Ihre eigene Munition kaufen oder Ihre Fahrkünste verbessern. Vergessen Sie nicht ihren Fahrer sorgfältig zu wählen, da jeder Fahrer seine eigenen Fähigkeiten hat, einschließlich Traktion, Beschleunigung, Geschwindigkeit und Rüstung.
Affaire Morlov, L' (Europe) (En,Fr)	L'Affaire Morlov ist ein Spionagethriller, in dem Sie Paul Keirn spielen, einen Journalisten der Zeitung „Liberation“. Ihre Freundin Virginie wurde entführt und Ihnen wird ein Mord angelastet. Sie haben 48 Stunden Zeit Ihren Namen reinzuwaschen und Virginie zu retten. Das Spiel findet aus der Ego-Perspektive statt, wobei die gesamte Action in Echtzeit stattfindet. Ähnlich wie bei vielen anderen Detektivspielen besteht Ihre Hauptaufgabe darin, mit den richtigen Leuten zu sprechen, jeden Ort gründlich nach Hinweisen zu durchsuchen und fotografische Beweise zu studieren. Das Spiel bietet Full-Motion-Video und enthält einige Szenen für Erwachsene. Um sich in Paris fortzubewegen, stellt das Spiel eine Karte zur Verfügung.
Alice au Pays des Merveilles (France)	Jetzt sind Sie Alice und das Wunderland erwartet Sie. Der verrückte Hutmacher, die Grinsekatze, die Pik-Dame und alle Charaktere aus dem Wunderland sind da. Dieses interaktive, rasante Abenteuerspiel des Klassikers Alice im Wunderland begeistert den Spieler mit 250 fantastischen Szenarien und 40 exzentrischen und reichen Charakteren. Es gibt Pilze, Kuchen und Tränke, alles verzehrfertig. Man wird dich klein wie eine Maus machen; noch so groß wie ein Riese! Charaktere scheinen Ihnen zu helfen (oder zu behindern), während Sie Hinweise sammeln und die Kräfte erwerben, die Sie benötigen, um aus dem Wunderland zu entkommen und nach Hause zurückzukehren. Reichhaltige digitale Farben und Sound ergänzen eines der einfallsreichsten und unterhaltsamsten CD-i-Programme überhaupt.
Alice in Wonderland (USA)	Jetzt sind Sie Alice und das Wunderland erwartet Sie. Der verrückte Hutmacher, die Grinsekatze, die Pik-Dame und alle Charaktere aus dem Wunderland sind da. Dieses interaktive, rasante Abenteuerspiel des Klassikers Alice im Wunderland begeistert den Spieler mit 250 fantastischen Szenarien und 40 exzentrischen und reichen Charakteren. Es gibt Pilze, Kuchen und Tränke, alles verzehrfertig. Man wird dich klein wie eine Maus machen; noch so groß wie ein Riese! Charaktere scheinen Ihnen zu helfen (oder zu behindern), während Sie Hinweise sammeln und die Kräfte erwerben, die Sie benötigen, um aus dem Wunderland zu entkommen und nach Hause zurückzukehren. Reichhaltige digitale Farben und Sound ergänzen eines der einfallsreichsten und unterhaltsamsten CD-i-Programme überhaupt.
Alien Gate (USA)	Ein schreckliches Übel bedroht die Sicherheit Ihres Planeten. Horden von Monstern marschieren durch das Alien Gate mit einem Ziel vor Augen – der Zerstörung deiner Welt! Nur Sie können diese Gefahr abwehren. Als Pilot eines Raketenjägers wird Ihre Besonnenheit aufs Äußerste auf die Probe gestellt. Der letzte Kampf hat begonnen.
All the Fun of the Fair - Engels voor Kinderen (Netherlands)	Die jährliche Country Fair kommt nach Bear Country, aber niemand hat Zeit, Bruder und Schwester mitzunehmen. Oh Mann, werden die Bärenjungen sauer sein? Also willigt Mama ein, sie beweisen zu lassen, dass sie verantwortungsbewusst genug sind, um alleine zum Jahrmarkt zu gehen. Mit über zwanzig Spiel- und Lernaktivitäten und neun neuen Liedern können Kinder in diese Geschichte eintauchen und reizvolle Orte besuchen.
Ange et le Demon, L' (France)	Im Umfeld des Mont-Saint-Michel besteht Ihr Ziel darin, das Schwert des Engels zu finden, das von den Mächten des Bösen, symbolisiert durch den Dämon, gestohlen wurde. Es ist ein Point & Click-Spiel, dessen Fortschritt auf dem Lösen von Rätseln basiert. Bei allen Bildern im Spiel handelt es sich um echte Fotos der berühmten historischen Stätte; auch dokumentarische Unterstützung ist vorhanden.
Apprentice, The (USA)	Le pauvre Marvin a besoin de votre aide ! En tant qu'apprenti du grand sorcier Gandorf S. Wandburner III, Marvin doit accomplir des tâches perfides dans les tours du château. Prenez le contrôle de l'apprenti et guidez-le à travers six niveaux époustouflants dans le jeu de plateforme de style arcade qui offre un jeu rapide et furieux avec des milliers d'images d'animation. Vous courrez, sauterez, volerez, nagerez même autour des tours, travaillerez contre la montre et tous les ennemis bestiaux qui sont impatients de prouver que le travail d'un sorcier n'est jamais terminé !
Arcade Classics (Europe)	Erinnern Sie sich an die gute alte Zeit, als Sie stundenlang hinter dem Arcade-Automaten saßen? Diese Tage sind zurück. „Arcade Classics“ bietet drei Klassiker aller Zeiten aus der Zeit, als „Gameplay“ die Nummer 1 war: Ms. Pac-Man, Galaxian und Galaga!
Asterix - Caesar's Challenge (Europe)	Wir befinden uns im Jahre 50 v.Chr. Ganz Gallien ist von den Römern besetzt... Ganz Gallien? Nein! Ein von unbeugsamen Galliern bevölkertes Dorf hört nicht auf, dem Eindringling Widerstand zu leisten. Ein großartiges Familienspiel, das Spielern aller Altersklassen Spaß macht. Es wird in einem atemberaubenden Tempo vom Druiden Miraculix geführt, der auch ein Zaubertrankflaschen verteilt...
Asterix - De Uitdaging van Caesar (Netherlands)	Wir befinden uns im Jahre 50 v.Chr. Ganz Gallien ist von den Römern besetzt... Ganz Gallien? Nein! Ein von unbeugsamen Galliern bevölkertes Dorf hört nicht auf, dem Eindringling Widerstand zu leisten. Ein großartiges Familienspiel, das Spielern aller Altersklassen Spaß macht. Es wird in einem atemberaubenden Tempo vom Druiden Miraculix geführt, der auch ein Zaubertrankflaschen verteilt...
