#key	synopsis
4 in 1 Row (Europe)	Ligue 4 é uma tradução do jogo de tabuleiro Connect Four. Dois jogadores (Pussycat e Hounddog) se revezam jogando discos coloridos (vermelho ou verde) em uma grade de oito colunas e seis linhas. O objetivo é colocar 4 discos seguidos, seja na vertical, na horizontal ou na diagonal. Um número indicador estratégico no lado direito da tela, ao lado de cada nome, mostrará as chances de cada jogador acertar quatro discos seguidos. Quanto maior o número, maiores as chances. Se o número for 125, significa que o jogador está a apenas um movimento de vencer. O indicador estratégico pode ser desligado pressionando CLEAR.
Alien Invaders - Plus (USA, Europe)	Uma diabólica dimensão para um dos mais populares jogos de ação de todos os tempos. Trata-se de um grande problema. Oito robôs armados com canhão laser avançam. Os robôs, além de bem armados, são protegidos por escudos blindados. A defesa deste ataque é feita com apenas um robô que está dentro de um tanque com canhão laser. Escudos de laser molecular de alta densidade protegem o tanque do fogo inimigo. Atrás de cada escudo existe um tanque adicional idêntico aos demais. Quando o tanque é atingido pelos lasers inimigos o robô fica desprotegido. Através da alavanca de controle manual pode-se guiar o robô até o escudo de laser molecular mais próximo para a retomada das ações de combate.
Alpine Skiing (USA, Europe)	Vista-se com roupas apropriadas para o clima gelado e prepare-se para disputar três diferentes tipos de competição de esqui. A primeira delas é o &quot;DOWNHILL&quot; ? Descida Direta. Uma competição de velocidade na neve em que vencerá o esquiador que descer no menor tempo. A segunda é o &quot;SLALOM&quot; ? Descida Sinuosa, onde o esquiador tenta passar por entre os postes de mesma cor. A terceira é o &quot;GIANT-SLALOM&quot;. A regra é a mesma da segunda corrida, mas a competição é mais longa e os postes estão mais separados. E você pode disputar ainda uma combinação de diversas competições. Ganha o esquiador que tiver o maior resultado após diversas descidas.
Armored Encounter + Sub Chase (USA, Europe)	OS PANZERS ATACAMnnEmocionante duelo de tanques em que você manobra e dispara como numa autêntica batalha. Cada tanque tem 20 tiros de canhão e mísseis teleguiados. Os combates podem ser em campo aberto, montanhoso ou minado, com barreiras simples ou complexas. Sua estratégia deve ser agressiva ou evasiva, dependendo da munição que lhe restar. Muita ação em 3 minutos de batalha! BATALHA AERONAVALnnUma explosiva batalha entre forças aéreas e navais: caças a jato, em vôo rasante, bombardeiam os submarinos; mísseis partem dos submarinos, na superfície ou submersos, para destruir os caças. Você controla a altitude dos caças, a profundidade e a velocidade dos submarinos e a direção dos disparos. Na superfície, navios neutros tiram pontos de quem os destruir.
Atlantis (USA, Europe)	O continente perdido de Atlantis está sitiado. As temíveis naves Gorgon estão atacando com o Raio da Morte! E neste momento um brado é ouvido pelos cidadãos: &quot;Defenda Atlantis Agora!&quot;. Para tanto, há duas sentinelas indestrutíveis de cada lado da cidade, disparando seus canhões laser sobre o inimigo. A cúpula do palácio projeta um campo de força que protege a cidade. E você ainda tem uma poderosa arma secreta: a bomba Blitz, que destrói todas as naves Gorgon de um só golpe. Assuma o comando e defenda Atlantis!
Attack of the Timelord (USA)	Assim que você apertar o número 1 do teclado alfanumérico, você despertará a atenção do imortal Senhor das Trevas, do Caos e dos Tempos. E sua única defesa é um canhão laser de energia ilimitada montado no topo de sua máquina do tempo. A frota de naves do Senhor das Trevas irá bombardeá-lo com mísseis. E se você destruir todas as naves do tempo, o jogo irá passar automaticamente para o Segundo Nível. Um nível onde o Senhor das Trevas estará começando a levá-lo a sério. E se você escapar, passará para o Terceiro e posteriormente para o Quarto Nível, onde você certamente já conseguiu o respeito do Senhor das Trevas, o que é uma graça muito duvidosa. E as batalhas se tornarão cada vez mais violentas e velozes em todos os 256 diferentes níveis do jogo.
Baseball (USA, Europe)	Uma disputadíssima partida, em que é exigida toda habilidade e atenção. Feito o arremesso, a direção da bola pode ser controlada através da alavanca. Se o Batedor não acertar a bola, o Receptador a jogará automaticamente de volta ao Arremessador. Quatro &quot;Balls&quot; equivalem a uma caminhada até a primeira base. Três &quot;Strikes&quot; e o jogador estará fora! A bola que for além do &quot;park&quot; (a linha branca no alto da tela) indica um &quot;Home Run&quot; (tacada máxima) e o Batedor correrá automaticamente pelas bases. Muitas outras jogadas emocionantes completam esta sensacional disputa.
Blockout + Breakdown (USA, Europe)	BARRICADA No jogo Barricada você terá que &quot;furar&quot; a barricada de blocos no menor tempo possível. E, lutando contra esse seu esforço, o seu adversário estará no outro controle manual fazendo os diabinhos construtores refazerem tudo o que você conseguiu &quot;furar&quot;. E você tem 90 segundos para &quot;furar&quot; completamente a barricada. DEMOLIÇÃO No jogo Demolição você terá apenas 60 segundos para dinamitar o maior número possíveis de blocos. Aí também estarão os diabinhos, mas desta vez eles estarão trabalhando com o dobro da velocidade. Vence o jogador que deixar o menor número de blocos sem destruir.
Bowling + Basketball (USA, Europe)	BOLICHEnnMovimentado e divertido jogo de ação. Uma verdadeira simulação eletrônica de uma partida de boliche, que pode ser disputada em dois níveis de jogo: Disputa Noturna, onde a bola se move com menor velocidade, ou Grande Torneio, onde a bola é lançada muito mais rapidamente. Boliche é um jogo tão emocionante que permite aos participantes até mesmo usar efeitos nos lançamentos depois de atirada a bola! BASQUETEBOLnnUm jogo realmente emocionante. O campo gravitacional do piso da quadra faz a bola saltar de maneira bem real, fazendo a simulação eletrônica de uma autêntica partida de basquetebol. O primeiro jogador a tocar na bola detém a posse e tem de se movimentar e arremessar a bola em até 8 segundos ou então a posse da bola passará ao adversário. Além disso, a bola pode ser tomada da mão do adversário, caso ele a mantiver por mais de 3 segundos sem fazer arremesso. O campo gravitacional torna o jogo bem real.
Buraco Negro (Brazil) (En)	O grande desafio desta missão espacial é desvendar o mistério do Buraco Negro. Meteoritos de grande porte surgem a todo momem e devem ser destruídos ou levados para o campo gravitacional do Buraco Negro. Todo cuidado é pouco, pois sua força de atração é tão violenta que qualquer descuido será fatal para sua nave. Mas você tem que ser hábil e muito rápido, porque os meteoritos podem destruir seu campo magnético de proteção!
