#key	synopsis
2010 - The Graphic Action Game (USA)	Este é um jogo baseado no filme 2010: O Ano em que Fizemos Contato. Você é um astronauta a bordo da Discovery e precisa reparar seus sistemas antes que ela colida com Io, uma das luas de Júpiter. O tempo é limitado, então não perca tempo ou a Discovery será destruída. Mova a mira sobre o ponto problemático e pressione o botão A para iniciar os reparos. Em seguida, você deve selecionar um caminho para a energia, de forma que ela alimente todos os componentes daquela placa de circuito, e então prosseguir. Se o anel flutuante tocar em um componente enquanto você estiver trabalhando nele, ou se você criar um loop de feedback, o componente será danificado e você precisará repará-lo antes de continuar, o que consumirá tempo. Às vezes, você precisará retornar a um circuito para reparar um componente e reiniciá-lo.
A.E. (USA) (Proto)	A.E., raios voadores mortíferos de outro mundo. Caçam em &quot;matilhas&quot; rápidas e o seu ferrão é mortal. Deve explodi-los com a sua pistola de dupla acção antes que eles o matem. Continue a andar e não se distraia com as manobras serpentinas de A.E.... - Ou poderá não viver para contar a história!
Alcazar - The Forgotten Fortress (USA)	Neste jogo de aventura você controla um explorador que está a caminho da fortaleza Alcazar. Para chegar a Alcazar você está viajando por um campo de fortalezas e você precisa coletar vários itens que você pode encontrar ao longo do caminho. Quando entrares na fortaleza de Alcazar, tens de procurar a coroa. O mapa estratégico dá-lhe uma visão geral do campo, são fortalezas e a sua localização nele. Que perigos espreitam nestes misteriosos castelos? Qual é o caminho Rápido e seguro? O castelo de Alcazar tem três andares de altura, todos os outros castelos têm apenas dois andares. Para entrar num castelo, basta seguir o caminho. Cada castelo tem seus próprios objetos procurados e estes objetos são sempre guardados pelos castelos principal demônio. Objectos a procurar são, por exemplo: uma corda, uma arma, carne crua, água ou uma jangada. Recolha-os e use-os corretamente para dominar A lendária fortaleza de Alcazar.
Alphabet Zoo (USA)	Alphabet Zoo é um jogo de primeira vista onde o jogador corre em torno de um labirinto, evitando criaturas inimigas. No entanto, a reviravolta é que cada labirinto tem uma representação gráfica de um objeto no meio... e cabe ao jogador coletar as letras espalhadas ao redor do labirinto, na ordem correta, para soletrar o nome do objeto. A dificuldade pode ser ajustada para focar em consoantes, vogais ou todo o alfabeto.
Amazing Bumpman (USA)	Você ajuda Amazing Bumpman a mover-se na grade, movendo os números brancos para os lugares certos no centro da grade. O jogo nunca foi entregue com a caixa oficial ou qualquer outra caixa. Só foi entregue com o cartucho e o manual de papel.
Antarctic Adventure (USA, Europe)	Como pinguim, você deve viajar pela Antártida, fazendo seu caminho entre as bases antes que o tempo acabe. Isto parece fácil, certo? Errado. Esconder o teu progresso serão fendas de gelo e focas leopardos. Você pode pular sobre as fendas, mas saltar sobre as focas leopardo pode ser difícil. Você pode acelerar ou desacelerar o pinguim para evitar ambos esses perigos. As bases incluem Austrália, França, Nova Zelândia, EUA, Argentina, Reino Unido e Japão. Você pode coletar bandeiras e comer peixe para pontos. Coletar uma bandeira piscando permitirá que você use uma hélice que lhe permite voar sobre esses perigos.
Boulder Dash (USA)	Você é Rockford e precisa cavar através cavernas infestadas de monstros em busca de diamantes. Em cada nível, você deve coletar um certo número desses diamantes, a fim de abrir um portal para a próxima fase. Os inimigos podem ser esmagados por pedras que caem, que são liberadas quando o solo abaixo deles é removido ou empurrado para um terreno vazio. Mas tenha cuidado, pois elas também podem esmagá-lo. Em níveis posteriores, a dificuldade é aumentada por muitos elementos do quebra-cabeça e tempos mais curtos. Existem 16 níveis a serem concluídos e cinco níveis diferentes de habilidade disponíveis, que afetam o número de joias que devem ser coletadas e o tempo.
Buck Rogers - Planet of Zoom (USA, Europe)	Baseado na banda desenhada de Buck Rogers, Buck Rogers: Planet of Zoom é um jogo acelerado ambientado em um circuito futurista. Guie sua nave espacial entre os postes e abata outros jogadores inimigos.
BurgerTime (USA, Europe)	Nosso protagonista é o Chef Pepper, e seu objetivo é preparar hambúrgueres com diversas cores, salsichas e pimentões, tudo cozido na área de jogo. Para fazer um hambúrguer, você deve combinar todos os ingredientes e adicioná-los à base. O Chef Pepper deve passar todos os ingredientes do hambúrguer. Assim que você tiver um ingrediente (um pedaço de alface, por exemplo), ele estará no mesmo nível. A comida que for coberta atacará qualquer inimigo que você seguir e também provará qualquer um dos outros ingredientes que você tiver à mão. Como você pode coletar pimentões que permitem lançar uma pequena camada de pimenta que matará os inimigos momentaneamente, você não poderá passar por eles sem ser atingido novamente. Conforme você avança de nível, os inimigos ficarão mais rápidos e você terá mais ingredientes para fazer seu hambúrguer.
Choplifter! (USA)	Choplifter é um jogo de ação / arcade de rolagem lateral que coloca você no controle de um helicóptero de ataque. Sua missão: chegar atrás das linhas inimigas e resgatar até 16 reféns por nível. Tenha cuidado, entretanto, porque os tanques e aviões inimigos tentarão pará-lo - e eles não irão parar de atirar enquanto você resgata os reféns!
Dig Dug (USA) (Proto)	Em Dig Dug, faça uma guerra subterrânea com o seu arpão de confiança! Vai precisar de derrotar o duro Pooka e o feroz Fygar para avançar para o próximo nível. Rebenta com os teus inimigos para que eles rebentem ou atirem pedras sobre eles! Receberá pontos por se livrar deles ou por recolher itens de bónus. Este jogo clássico é tanto um jogo de acção arcade da velha escola como um jogo de estratégia. Atraia os seus inimigos para onde quer que eles estejam e esmague-os com as rochas!
Donkey Kong (USA)	O jogo se passa em uma série de plataformas, onde o jogador assume o papel de Mario, um encanador corajoso, em uma missão para resgatar sua amada, Pauline, sequestrada por Donkey Kong, um imenso gorila. O jogo é uma corrida contra o tempo, com Mario enfrentando obstáculos como barris, plataformas móveis e outros perigos enquanto tenta subir os níveis de uma construção cheia de desafios. O objetivo é alcançar Donkey Kong no topo da tela e salvar Pauline, mas o gorila vai lançar barris e outros obstáculos para impedir que Mario consiga salvar a donzela em perigo. Para ajudar a cumprir sua missão você deve encontrar itens especiais que te ajudarão a superar os desafios e alcançar a vitória.
Dragonfire (USA)	Os tesouros do rei foram roubados! Como jovem príncipe atrevido, o seu objectivo é recuperá-los a todos. Os tesouros são guardados em castelos diferentes, cada um deles guardado por um dragão de fogo. Cada nível do jogo tem duas partes, primeiro tem de atravessar a ponte levadiça do castelo. Terá de saltar e esquivar-se às bolas de fogo dos dragões e evitar as setas voadoras para alcançar o outro lado! Na segunda parte, é necessário recolher todos os tesouros no ecrã e colocá-los num local seguro, evitando ao mesmo tempo que o dragão corra no fundo do ecrã. Os dragões em cada nível têm diferentes movimentos e padrões de tiro, e à medida que os níveis progridem tornam-se mais rápidos e mais complicados.
Flipper Slipper (USA, Europe)	É um jogo no estilo Breakout com temática aquática, com a mecânica única de raquetes curvas, que podem fazer a bola rolar e quicar em ângulos não convencionais.
Fortune Builder (USA)	Sua comunidade será planejada em um mapa de terras não urbanizadas, composto por um litoral com praia, duas cadeias de montanhas, terras altas, um rio e um lago, com uma rodovia principal que liga o norte ao sul. Você começará com uma quantia fixa de dinheiro, que lhe permitirá comprar e construir uma grande variedade de propriedades: hotéis, condomínios, marinas, fábricas, shoppings, postos de gasolina e diversas outras instalações.
Fraction Fever (USA)	O objetivo do jogador é avançar até o vigésimo andar com a ajuda de seu pula-pula e dos Elevadores de Frações localizados em cada andar. Para encontrá-los, o jogador precisa procurar as figuras de frações corretas, que correspondem ao que é mostrado na parte superior da tela, enquanto um radar exibe o layout dos andares na parte inferior. Frações incorretas podem ser derrubadas para marcar pontos, mas isso deixa buracos no chão. Quando o jogador não consegue pular sobre esses buracos e cai de uma altura suficiente ou várias vezes, o jogo termina. Há também um limite de tempo a ser observado; se o cronômetro chegar a zero, o Elevador de Frações do andar atual não poderá ser alcançado e o jogador terá que pular um andar para baixo para poder tentar novamente.
Frantic Freddy (USA)	Freddy precisa correr de um lado para o outro no chão, desviando de entulhos que caem enquanto atira água nas chamas nas janelas de um prédio. Quando todo o fogo é apagado, o jogo avança para o próximo andar, onde Freddy pode escalar entre os andares, atirando para a esquerda e para a direita em vez de para cima. Nesses níveis, existem dois tipos de chamas: as vermelhas e as roxas. As roxas são mais agressivas, seguindo Freddy pela tela, e só podem ser apagadas depois que todas as vermelhas forem extintas. O jogo progride dessa forma, alternando entre os níveis de tiro para cima e os níveis de tiro para os lados.
Jungle Hunt (USA)	Jungle Hunt apresenta quatro aventuras únicas, cada uma repetida com maior dificuldade. Se não sobreviveres a estas aventuras, perderás não só a tua vida, mas também a da bela Penélope, que foi capturada por canibais! A primeira parte põe à prova os teus dotes de Tarzan: consegues balançar-te nas vinhas sem te deixares cair no vazio? A segunda parte coloca-te contra um bando de crocodilos malvados num rio poderoso. Felizmente, tens uma faca para te defenderes. Na terceira parte, tens de enfrentar rochedos de diferentes tamanhos. Depois de ultrapassares todos estes perigos, tens ainda de enfrentar o temível canibal, armado com uma temível lança. Serás capaz de o derrotar e salvar a bela Penélope?
